연번,업소명,업소소재지(도로명),소재지전화
105,용인,제주특별자치도 제주시 남성로 116 (삼도일동),064-757-4791
106,청심,제주특별자치도 제주시 제원1길 22 (연동),064-742-5131
107,도일,제주특별자치도 제주시 신광로 102 (연동),064-742-6947
108,정성,제주특별자치도 제주시 도남로 6-1 (삼도일동),064-757-5788
109,동문,제주특별자치도 제주시 관덕로17길 5 (일도일동),064-752-1489
110,사라봉,제주특별자치도 제주시 동문로 133 (건입동),064-753-3381
111,정원,제주특별자치도 제주시 중앙로3길 14 (일도일동),064-758-9805
112,자자,제주특별자치도 제주시 삼무로1길 11 (연동),064-746-0012
113,세인장,제주특별자치도 제주시 한림읍 한림로17길 12,064-796-2330
114,한영장,제주특별자치도 제주시 한림읍 사가길 5,064-796-3115
115,크라운호텔,제주특별자치도 제주시 동문로 138 (일도이동),064-753-8011
116,동원호텔,제주특별자치도 제주시 은남1길 30 (연동),064-742-8900
117,서사라,제주특별자치도 제주시 서사로 99 (삼도일동),064-752-9111
118,상하이 호텔,제주특별자치도 제주시 은남1길 32 (연동),064-742-1488
119,코리아나,제주특별자치도 제주시 은남길 37 (연동),064-742-2101
120,신제주모텔,제주특별자치도 제주시 은남길 29 (연동),064-747-0335
121,남산,제주특별자치도 제주시 서광로2길 5-6 (오라일동),064-755-0889
122,애니,제주특별자치도 제주시 신대로18길 50 (연동),064-743-8536
123,제주마실 게스트하우스,제주특별자치도 제주시 서광로2길 11-16 (오라일동),064-722-1800
124,만년,제주특별자치도 제주시 제원1길 32 (연동),064-742-5226
125,프린스,제주특별자치도 제주시 은남4길 46 (연동),064-742-5594
126,그린모텔,제주특별자치도 제주시 공설로 15 (삼도일동),064-751-1177
127,무궁화,제주특별자치도 제주시 서사로 16 (용담일동),064-753-8825
128,소라,제주특별자치도 제주시 서광로3길 1 (용담일동),064-753-0776
129,너븐팡 게스트하우스,제주특별자치도 제주시 신광로 102-1 (연동),064-742-0020
130,골든파크,제주특별자치도 제주시 서광로2길 9 (오라일동),064-752-5820
131,유정,제주특별자치도 제주시 서광로2길 5-4 (오라일동),064-753-6331
132,오라성,제주특별자치도 제주시 서광로2길 15-1 (오라일동),064-753-4700
133,동천모텔,제주특별자치도 제주시 동광로23길 3 (일도이동),064-758-6464
134,잠,제주특별자치도 제주시 신대로18길 52 (연동),064-742-6022
135,문화,제주특별자치도 제주시 사라봉7길 39-10 (건입동),064-753-6928
136,금오,제주특별자치도 제주시 서광로4길 16 (오라일동),064-753-0701
137,유나,제주특별자치도 제주시 관덕로6길 8 (삼도이동),064-751-0081
138,잠자리호텔,제주특별자치도 제주시 신광로 104 (연동),064-748-8806
139,송일,제주특별자치도 제주시 서광로11길 3 (삼도일동),064-751-1114
140,풍년,제주특별자치도 제주시 사장2길 41 (연동),064-742-0997
141,우리,제주특별자치도 제주시 제원1길 13 (연동),064-742-5526
142,별,제주특별자치도 제주시 고마로 10-3 (일도이동),064-753-3816
143,공원여인숙,제주특별자치도 제주시 신산로15길 2 (일도이동),064-753-9426
144,귀빈,제주특별자치도 제주시 제원1길 20 (연동),064-742-6682
145,스타하우스,제주특별자치도 제주시 애월읍 하광로 540-66,064-748-2050
146,태흥여관,제주특별자치도 제주시 추자면 추자로 34,064-712-5600
147,(주)뉴-크라운,제주특별자치도 제주시 신광로 87 (연동),064-742-1001
148,하와이관광호텔,제주특별자치도 제주시 사장3길 32 (연동),064-742-0061
149,제주서울,제주특별자치도 제주시 탑동로 5 (삼도이동),064-752-2211
150,유화관광(주)제주펄관광호텔,제주특별자치도 제주시 신대로20길 49 (연동),064-742-8871
151,제주오리엔탈,제주특별자치도 제주시 탑동로 47 (삼도이동),064-754-8812
152,삼해인,제주특별자치도 제주시 도령로 108 (연동),064-742-7775
153,그레이스,제주특별자치도 제주시 삼무로 18 (연동),064-742-0066
154,호텔 스카이파크,제주특별자치도 제주시 삼무로 48 (연동),064-748-7100
155,가이아 호텔,제주특별자치도 제주시 연동7길 4 (연동),064-742-6110
156,헤럴드,제주특별자치도 제주시 삼무로3길 48 (연동),064-748-1185
157,피닉스,제주특별자치도 제주시 은남1길 28 (연동),064-742-3488
158,한림,제주특별자치도 제주시 연동10길 20 (연동),064-746-6682
159,하나,제주특별자치도 제주시 고마로 58 (일도이동),064-729-3500
160,영동,제주특별자치도 제주시 동광로7길 4 (이도일동),064-756-2002
161,유앤드아이,제주특별자치도 제주시 광양8길 1-2 (이도이동),064-753-5648
162,만금,제주특별자치도 제주시 중앙로15길 6 (이도일동),064-722-0687
163,개성,제주특별자치도 제주시 동광로21길 2 (일도이동),064-757-2401
164,선인,제주특별자치도 제주시 관덕로 32 (삼도이동),064-753-8823
165,크로바,제주특별자치도 제주시 동문로 119 (건입동),064-725-0958
166,동남아,제주특별자치도 제주시 신산로 93-2 (일도이동),064-752-1775
167,로즈,제주특별자치도 제주시 동문로 136-1 (일도이동),064-753-5501
168,아지,제주특별자치도 제주시 무근성7길 16-13 (삼도이동),064-722-1296
169,청림,제주특별자치도 제주시 서광로2길 11-24 (오라일동),064-753-4666
170,평화,제주특별자치도 제주시 신대로7길 1 (연동),064-746-0528
171,은정,제주특별자치도 제주시 탑동로3길 4 (삼도이동),064-722-3187
172,진영,제주특별자치도 제주시 광양8길 1-8 (이도이동),064-752-7007
173,호반,제주특별자치도 제주시 중앙로5길 12 (일도일동),064-757-6345
174,무진장,제주특별자치도 제주시 관덕로3길 13 (삼도이동),064-756-0166
175,별관,제주특별자치도 제주시 동문로 139 (건입동),064-752-5235
176,보라,제주특별자치도 제주시 관덕로15길 9-6 (일도일동),064-753-9791
177,럭키,제주특별자치도 제주시 서광로 189 (삼도일동),064-751-2727
178,샤인모텔,제주특별자치도 제주시 신광로 80 (연동),064-749-2222
179,양지,제주특별자치도 제주시 서부두남길 17 (건입동),064-757-7962
180,동백여관,제주특별자치도 제주시 한림읍 한림로19길 12,064-796-4327
181,호텔밀라노크라운,제주특별자치도 제주시 노연로 103 (연동),064-746-7800
182,알프스호텔,제주특별자치도 제주시 신산로 79 (일도이동),064-752-9901
183,아이웰호텔,제주특별자치도 제주시 노연로 72 (연동),064-744-1601
184,더 제이제이호텔,제주특별자치도 제주시 삼무로1길 10-8 (연동),064-742-2020
185,올리브호텔,제주특별자치도 제주시 원노형3길 5 (노형동),064-743-5777
186,호텔엘린,제주특별자치도 제주시 은남1길 4 (연동),064-743-5600
187,하니,제주특별자치도 제주시 동광로19길 55-10 (일도이동),064-753-4334
188,관덕,제주특별자치도 제주시 관덕로 34-3 (삼도이동),064-757-1661
189,우정,제주특별자치도 제주시 도남로 3-3 (도남동),064-752-7769
190,서로,제주특별자치도 제주시 서사로17길 3 (삼도일동),064-755-8818
191,국일,제주특별자치도 제주시 서사로17길 2 (삼도일동),064-753-5050
192,해마루,제주특별자치도 제주시 서광로 159 (용담일동),064-755-5565
193,행복,제주특별자치도 제주시 삼성로11길 32-1 (일도이동),064-743-9402
194,청원,제주특별자치도 제주시 삼성로11길 32 (일도이동),064-755-3939
195,신화,제주특별자치도 제주시 남성로9길 3-2 (용담일동),064-755-5956
196,라자,제주특별자치도 제주시 연동6길 33 (연동),064-745-8100
197,뉴월드호텔,제주특별자치도 제주시 도령로 96 (연동),064-747-0777
198,포시즌호텔,제주특별자치도 제주시 원노형3길 19 (노형동),064-746-9751
199,아트,제주특별자치도 제주시 신대로20길 48 (연동),064-742-8840
200,풍기,제주특별자치도 제주시 광양1길 2-1 (이도일동),064-757-5516
201,한성,제주특별자치도 제주시 중앙로22길 3 (삼도이동),064-722-0519
202,온천,제주특별자치도 제주시 서광로2길 5-8 (오라일동),064-753-0865
203,칠성,제주특별자치도 제주시 칠성로길 44-3 (일도일동),064-751-5701
204,대아,제주특별자치도 제주시 신산로 77 (일도이동),064-757-2283
205,사라,제주특별자치도 제주시 서사로13길 2 (삼도일동),064-725-9812
206,신대화,제주특별자치도 제주시 서광로21길 4 (삼도일동),064-755-0734
207,세은,제주특별자치도 제주시 고전길 2-4 (이도일동),064-755-8801
208,안남,제주특별자치도 제주시 남성로11길 2 (용담일동),064-756-2662
209,제주영성모텔,제주특별자치도 제주시 동문로10길 1 (일도일동),064-752-8700
210,글로벌,제주특별자치도 제주시 중앙로1길 14-1 (건입동),064-756-5943
211,동백,제주특별자치도 제주시 사라봉7길 42 (건입동),064-756-5941
212,유림,제주특별자치도 제주시 동문로6길 5-3 (일도일동),064-722-4134
213,모아,제주특별자치도 제주시 무근성길 44 (삼도이동),064-755-7337
214,영자,제주특별자치도 제주시 고마로 2-4 (일도이동),064-722-6450
215,대일장여관,제주특별자치도 제주시 한림읍 한수풀로 11,064-796-0603
216,제주퍼시픽,제주특별자치도 제주시 서사로 20 (용담일동),064-758-2500
217,라움호텔,제주특별자치도 제주시 신광로10길 1 (연동),064-747-3399
218,르네상스호텔,제주특별자치도 제주시 서사로14길 1 (삼도일동),064-757-8091
219,제주스테이,제주특별자치도 제주시 무근성7길 22 (삼도이동),064-752-8870
220,북경장,제주특별자치도 제주시 사라봉9길 14 (건입동),064-758-0441
221,애미호텔,제주특별자치도 제주시 서사로17길 4 (삼도일동),064-755-2266
222,동도여관,제주특별자치도 제주시 고마로1길 1-2 (일도이동),064-756-5922
223,배비장 모텔,제주특별자치도 제주시 광양6길 4 (이도일동),064-758-3667
224,예하 게스트하우스,제주특별자치도 제주시 삼오길 9 (삼도일동),064-724-5506
225,탑모텔,제주특별자치도 제주시 중앙로8길 5 (일도일동),064-753-8001
226,수와정,제주특별자치도 제주시 중앙로25길 7 (이도일동),064-751-8858
227,한수,제주특별자치도 제주시 도남로 5-3 (도남동),064-757-8808
228,우성,제주특별자치도 제주시 칠성로길 37-1 (일도일동),064-722-3070
229,국보,제주특별자치도 제주시 고마로1길 1-1 (일도이동),064-722-4031
230,해피데이,제주특별자치도 제주시 제원길 43 (연동),064-748-1180
231,아신스카이호텔,제주특별자치도 제주시 한림읍 한림로 245,064-796-7800
232,웃뜨르쉼터,제주특별자치도 제주시 조천읍 함덕로 10,064-783-7950
233,뉴월드여관,제주특별자치도 제주시 한림읍 한림북동길 26,064-796-6588
234,뉴아일랜드관광호텔,제주특별자치도 제주시 연동6길 17 (연동),064-712-1300
235,에메랄드호텔투,제주특별자치도 제주시 동광로 86 (이도이동),064-757-8351
236,센트럴호텔,제주특별자치도 제주시 사장1길 30 (연동),064-748-2511
237,주식회사 제이엠호텔,제주특별자치도 제주시 삼무로1길 10-7 (연동),064-747-6767
238,신천지 호텔,제주특별자치도 제주시 동대북길 1 (건입동),064-755-8222
239,제주알(R)호텔,제주특별자치도 제주시 서광로14길 5 (삼도일동),064-757-7734
240,쌍송,제주특별자치도 제주시 신산로 19 (일도이동),064-752-0062
241,사모아,제주특별자치도 제주시 임항로 16 (건입동),064-758-4900
242,레몬,제주특별자치도 제주시 고마로16길 2 (일도이동),064-757-7110
243,조원,제주특별자치도 제주시 산지로 21-12 (건입동),064-752-6507
244,황금,제주특별자치도 제주시 산지로 21-2 (건입동),064-758-2440
245,마로,제주특별자치도 제주시 동광로21길 5 (일도이동),064-758-0435
246,생수모텔,제주특별자치도 제주시 고전길 27 (이도일동),064-758-3600
247,더하우스,제주특별자치도 제주시 신산로 69 (일도이동),064-758-5384
248,궁전,제주특별자치도 제주시 동광로17길 30-1 (일도이동),064-758-5520
249,명월,제주특별자치도 제주시 삼무로1길 10 (연동),064-747-6188
250,흥진,제주특별자치도 제주시 광양1길 12 (이도일동),064-722-1444
251,덕수장모텔,제주특별자치도 제주시 남성로 29 (용담일동),064-758-8855
252,항구장여관,제주특별자치도 제주시 한림읍 한림해안로 144,064-796-1885
253,대호여관,제주특별자치도 제주시 한림읍 한림로19길 7,064-796-1507
254,에메랄드호텔,제주특별자치도 제주시 중앙로12길 35 (삼도이동),064-751-0061
255,아이웰썬랜드,제주특별자치도 제주시 신광로 92 (연동),064-744-1601
256,태경,제주특별자치도 제주시 중앙로2길 39 (삼도이동),064-752-3113
257,위너스,제주특별자치도 제주시 원노형3길 29 (노형동),064-742-8777
258,동궁,제주특별자치도 제주시 고마로13길 4-1 (일도이동),064-753-6778
259,천하,제주특별자치도 제주시 동광로 165 (일도이동),064-757-7744
260,국도,제주특별자치도 제주시 삼무로 82 (연동),064-742-9271
261,로베로,제주특별자치도 제주시 관덕로 26 (삼도이동),064-757-7111
262,오렌지,제주특별자치도 제주시 광양2길 1 (이도일동),064-753-5001
263,아산,제주특별자치도 제주시 사장길 23 (연동),064-747-7000
264,올림피아,제주특별자치도 제주시 서광로 171 (용담일동),064-753-7011
265,도원,제주특별자치도 제주시 서광로2길 1 (오라일동),064-753-5816
266,그린게스트하우스,제주특별자치도 제주시 사라봉7길 44 (건입동),064-752-6374
267,봉성장,제주특별자치도 제주시 동문로 121 (건입동),064-721-4526
268,함덕장모텔,제주특별자치도 제주시 조천읍 신북로 546,064-782-7511
269,제주코아호텔,제주특별자치도 제주시 신대로 148 (연동),064-744-6600
270,씨티호텔,제주특별자치도 제주시 신대로 170 (연동),064-749-1851
271,제주타워,제주특별자치도 제주시 중앙로1길 12 (건입동),064-753-9003
272,신강남,제주특별자치도 제주시 서광로3길 2 (용담일동),064-753-8770
273,선타운,제주특별자치도 제주시 애월읍 광령평화8길 47-7,064-747-1135
274,엠케이제주호텔,제주특별자치도 제주시 신대로 160 (연동),064-747-0202
275,에메랄드호텔에이스,제주특별자치도 제주시 오복5길 4 (이도이동),064-725-2400
276,제주파크힐,제주특별자치도 제주시 삼성로 65 (일도이동),064-753-5253
277,우신,제주특별자치도 제주시 관덕로4길 1-5 (삼도이동),064-724-0905
278,명도암관광휴양목장,제주특별자치도 제주시 명림로 226-42 (봉개동),064-721-2401
279,세론여관,제주특별자치도 제주시 한림읍 한림북동길 22,064-796-7575
280,여정여관,제주특별자치도 제주시 추자면 추자로 4-1,064-742-3512
281,황재여관,제주특별자치도 제주시 추자면 추자로 70,064-742-7507
282,영주,제주특별자치도 제주시 한림읍 한림로19길 9,064-796-2991
283,하루,제주특별자치도 제주시 삼무로1길 3 (연동),064-748-1000
284,대유,제주특별자치도 제주시 원노형2길 21 (노형동),064-746-0005
285,샾모텔,제주특별자치도 제주시 은남4길 33 (연동),064-747-2300
286,덕창,제주특별자치도 제주시 남성로26길 9 (삼도이동),064-724-6313
287,일성제주콘도,제주특별자치도 제주시 한림읍 한림로 239,064-796-8400
288,추자풀하우스,제주특별자치도 제주시 추자면 추자로 50 3층,064-742-8881
289,제주드림랜드,제주특별자치도 제주시 애월읍 평화로 1529,064-792-6100
290,피카소,제주특별자치도 제주시 은남1길 27 (연동),064-745-3318
291,글로리,제주특별자치도 제주시 서광로2길 11-1 (오라일동),064-759-1521
292,옥륜,제주특별자치도 제주시 광양8길 12-1 (이도이동),064-702-5003
293,(주)이랜드파크켄싱턴리조트제주한림점,제주특별자치도 제주시 한림읍 한림해안로 530,064-796-9600
294,메가리조트제주,제주특별자치도 제주시 한경면 판포1길 6,064-773-0700
295,(주)사조그랜드리조트,제주특별자치도 제주시 조천읍 일주동로 1616-7,064-782-8600
296,파도여관,제주특별자치도 제주시 추자면 추자로 2-1,064-742-2231
297,추자바다25시,제주특별자치도 제주시 추자면 묵리2길 48,064-742-2724
298,제주선샤인호텔,제주특별자치도 제주시 조천읍 신북로 481-9,064-784-2525
299,뉴코리아,제주특별자치도 제주시 은남길 37 (연동),064-744-4333
300,용천,제주특별자치도 제주시 서광로25길 8 (삼도일동),064-758-9902
301,청도,제주특별자치도 제주시 동광로 114-3 (일도이동),064-725-5432
302,제주토비스콘도,제주특별자치도 제주시 애월읍 애월로1길 8,064-799-9905
303,꿈의궁전,제주특별자치도 제주시 신광로4길 26 (연동),064-748-8866
304,재도,제주특별자치도 제주시 신광로1길 38 (연동),064-746-4070
305,체크인,제주특별자치도 제주시 임항로 28 (건입동외1필지(1319-130)),064-725-4063
306,파크비치,제주특별자치도 제주시 조천읍 북촌1길 58,064-784-3311
307,위드모텔,제주특별자치도 제주시 남성로 143-11 (삼도이동),064-722-3478
308,석류,제주특별자치도 제주시 중앙로2길 21 (삼도이동),064-753-9525
309,늘송파크텔,제주특별자치도 제주시 원노형5길 22 (노형동),064-749-3303
310,스카이모텔,제주특별자치도 제주시 사장1길 40 (연동),064-746-7055
311,제주올레호텔,제주특별자치도 제주시 삼무로5길 8 (연동),064-746-1501
312,금룡관광호텔,제주특별자치도 제주시 삼무로 79 (연동),064-712-1600
313,에프원,제주특별자치도 제주시 사장1길 18 (연동),064-711-0939
314,호텔더블류탑동점,제주특별자치도 제주시 임항로 24 (건입동),064-757-0315
315,(주)제주메이리조트,제주특별자치도 제주시 구좌읍 일주동로 1626,064-766-8888
316,삼성여관,제주특별자치도 제주시 한림읍 한림로15길 5,064-796-3578
317,모텔아시아,제주특별자치도 제주시 애월읍 가문동길 79,064-713-6568
318,나비스호텔,제주특별자치도 제주시 애월읍 애월해안로 885,064-712-5200
319,한라모텔,제주특별자치도 제주시 한림읍 한림로3길 10-9,064-796-7942
320,허브모텔,제주특별자치도 제주시 은남2길 43 (연동),064-711-7779
321,썬 하우,제주특별자치도 제주시 관덕로4길 1-1 (삼도이동),064-751-0852
322,뉴제주호텔,제주특별자치도 제주시 원노형6길 2 (노형동),064-743-7001
323,뉴스타,제주특별자치도 제주시 서사로 102 (삼도일동),064-755-2401
324,하얀성,제주특별자치도 제주시 신광로4길 14 (연동),064-748-3755
325,캐피탈,제주특별자치도 제주시 서광로2길 11-11 (오라일동),064-725-6663
326,라벤다,제주특별자치도 제주시 제원1길 30 (연동),064-744-4728
327,조아텔,제주특별자치도 제주시 서광로2길 11-4 (오라일동),064-756-2003
328,금호 훼밀리,제주특별자치도 제주시 제원1길 9 (연동),064-745-2020
329,뉴신라,제주특별자치도 제주시 신대로12길 40 (연동),064-712-9930
330,소피아,제주특별자치도 제주시 신광로1길 24 (연동),064-745-1989
331,준파크텔,제주특별자치도 제주시 사장1길 18-1 (연동),064-745-3567
332,굿나잇,제주특별자치도 제주시 관덕로7길 38 (삼도이동),064-724-3838
333,호텔베니스,제주특별자치도 제주시 원노형6길 3-3 (노형동),064-744-1234
334,오름,제주특별자치도 제주시 홍랑길 4-4 (삼도일동),064-757-4690
335,마녀가탄빗자루,제주특별자치도 제주시 애월읍 고내로13길 73,064-799-7749
336,제주금강산콘도미니엄,제주특별자치도 제주시 한림읍 협재로 210-18,064-795-7800
337,명송(청수)리조트,제주특별자치도 제주시 구좌읍 비자림로 1220,064-783-1185
338,중앙여인숙,제주특별자치도 제주시 한림읍 한림로17길 4,064-796-3040
339,힐하우스,제주특별자치도 제주시 조천읍 신북로 621,064-782-8661
340,삼만원,제주특별자치도 제주시 한림읍 한림해안로 160,064-796-4001
341,꿈의바다,제주특별자치도 제주시 애월읍 신엄9길 65-11,064-713-2886
342,끌림 삼십육점오(36.5),제주특별자치도 제주시 애월읍 고내로13길 83,064-799-1009
343,검멀레리조트,제주특별자치도 제주시 우도면 우도해안길 1128,064-784-8382
344,선린지펜션,제주특별자치도 제주시 조천읍 중산간동로 1513,064-784-8666
345,탑에이스 모텔,제주특별자치도 제주시 관덕로7길 36 (삼도이동),064-702-3227
346,자유모텔,제주특별자치도 제주시 월랑로2길 16 (노형동),064-744-5757
347,금정모텔,제주특별자치도 제주시 서광로25길 10 (삼도일동),064-757-8197
348,사쿠라모텔,제주특별자치도 제주시 원노형6길 18 (노형동),064-711-2368
349,다이아몬드호텔,제주특별자치도 제주시 신대로12길 42 (연동),064-742-7744
350,아람,제주특별자치도 제주시 제원4길 23 (연동),064-748-0073
