연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
16,일반음식점,제주은행구내,,제주특별자치도 제주시 이도일동 1349번지 ,240.9,064-720-0200,한식
17,일반음식점,장춘,제주특별자치도 제주시 동문로4길 9-6 (일도일동),제주특별자치도 제주시 일도일동 1103번지 5호 ,52.2,064-757-2548,한식
18,일반음식점,동화반점,제주특별자치도 제주시 설촌로2길 5 (삼양이동),제주특별자치도 제주시 삼양이동 2128번지 8호 ,83.75,064-755-0594,중국식
19,일반음식점,가자우리집,제주특별자치도 제주시 임항로 55-4 (건입동),제주특별자치도 제주시 건입동 984번지 15호 ,19.25,064-722-0642,한식
20,일반음식점,박사초밥,제주특별자치도 제주시 오현길 2 (이도일동),제주특별자치도 제주시 이도일동 1271번지 11호 ,25,064-723-9334,일식
21,일반음식점,태광,제주특별자치도 제주시 탑동로 144 (용담일동),제주특별자치도 제주시 용담일동 119번지 ,35.87,064-751-1071,한식
22,일반음식점,서부두한라,제주특별자치도 제주시 서부두길 8 (건입동),제주특별자치도 제주시 건입동 1319번지 81호 ,102,064-723-9333,회집
23,일반음식점,오빠랑등갈비,제주특별자치도 제주시 전농로 73-1 (삼도이동(1층)),제주특별자치도 제주시 삼도이동 594번지 7호 (1층) ,49.5,064-752-0382,한식
24,일반음식점,명문푸드농협도지부구내,제주특별자치도 제주시 서사로 56 (삼도일동),제주특별자치도 제주시 삼도일동 794번지 3호 ,62,064-720-1413,한식
25,일반음식점,한강수,제주특별자치도 제주시 중앙로 131-2 (이도일동),제주특별자치도 제주시 이도일동 1709번지 14호 ,44.1,064-758-9301,한식
26,일반음식점,연화꽃길,제주특별자치도 제주시 중앙로 46-1 (일도일동),제주특별자치도 제주시 일도일동 1386번지 3호 ,16.3,064-758-9189,한식
27,일반음식점,동양,제주특별자치도 제주시 동문로6길 4 (일도일동),제주특별자치도 제주시 일도일동 1136번지 2호 ,23,064-753-6788,한식
28,일반음식점,또와,제주특별자치도 제주시 동문로4길 9 (일도일동),제주특별자치도 제주시 일도일동 1146번지 ,20,064-752-0446,한식
29,일반음식점,금복,제주특별자치도 제주시 동문로 16 (일도일동),제주특별자치도 제주시 일도일동 1148번지 2호 ,23.5,064-724-0218,한식
30,일반음식점,도두,제주특별자치도 제주시 도두3길 48 (도두일동),제주특별자치도 제주시 도두일동 2558번지 1호 ,39.53,064-742-9292,회집
31,일반음식점,유성,,제주특별자치도 제주시 일도일동 1146번지 ,14.7,064-722-3411,식육(숯불구이)
32,일반음식점,대진,제주특별자치도 제주시 서부두길 16 (건입동),제주특별자치도 제주시 건입동 1319번지 31호 외1필지(1층2층) ,259.56,064-758-0522,회집
33,일반음식점,날걸로,제주특별자치도 제주시 중앙로1길 8 (건입동),제주특별자치도 제주시 건입동 1413번지 ,29.4,064-752-6628,회집
34,일반음식점,골목,,제주특별자치도 제주시 이도일동 1347번지 ,26.4,064-757-4890,한식
35,일반음식점,도원,제주특별자치도 제주시 동문로4길 9 (일도일동),제주특별자치도 제주시 일도일동 1103번지 ,19.8,064-723-9410,한식
36,일반음식점,신동양,제주특별자치도 제주시 임항로 284 (건입동),제주특별자치도 제주시 건입동 1044번지 2호 ,63.96,064-753-5360,중국식
37,일반음식점,삼춘,제주특별자치도 제주시 광양2길 34 (이도일동외 1필지),제주특별자치도 제주시 이도일동 1686번지 1호 외 1필지 ,90.56,064-757-4641,한식
38,일반음식점,거제도횟집,제주특별자치도 제주시 서부두길 26 (건입동),제주특별자치도 제주시 건입동 1435번지 2호 ,110.56,064-758-3737,회집
39,일반음식점,유일,제주특별자치도 제주시 광양7길 13 (이도이동),제주특별자치도 제주시 이도이동 1176번지 25호 ,82.5,064-722-4100,중국식
40,일반음식점,황금닭갈비동문점,제주특별자치도 제주시 관덕로15길 9 1층 (일도일동),제주특별자치도 제주시 일도일동 1333번지 2호 1층 ,129.62,064-758-9346,한식
41,일반음식점,함흥면옥,제주특별자치도 제주시 관덕로 43 (일도일동),제주특별자치도 제주시 일도일동 1418번지 1호 ,126.92,064-722-2837,한식
42,일반음식점,외도,제주특별자치도 제주시 도근내길 33 (외도이동),제주특별자치도 제주시 외도이동 235번지 6호 ,144.15,064-743-7733,한식
43,일반음식점,황소,제주특별자치도 제주시 동광로1길 32 (이도일동),제주특별자치도 제주시 이도일동 1289번지 5호 ,24,064-751-2476,한식
44,일반음식점,보성어머니순대,제주특별자치도 제주시 동광로1길 32 (이도일동),제주특별자치도 제주시 이도일동 1289번지 5호 ,13.02,064-758-3688,한식
45,일반음식점,소라,제주특별자치도 제주시 서부두길 18-2 (건입동),제주특별자치도 제주시 건입동 1319번지 87호 ,114.8,064-758-9273,회집
46,일반음식점,쌍둥이,제주특별자치도 제주시 동광로1길 32 (이도일동),제주특별자치도 제주시 이도일동 1289번지 5호 ,39.8,064-757-5597,한식
47,일반음식점,현경,제주특별자치도 제주시 동광로1길 32 (이도일동),제주특별자치도 제주시 이도일동 1289번지 5호 ,24,064-757-9707,한식
48,일반음식점,송미,제주특별자치도 제주시 동광로1길 32 (이도일동),제주특별자치도 제주시 이도일동 1289번지 5호 ,22.4,064-722-7837,한식
49,일반음식점,옥성,제주특별자치도 제주시 동광로1길 32 (이도일동),제주특별자치도 제주시 이도일동 1289번지 5호 ,24.48,064-755-6006,한식
50,일반음식점,유명야시장,제주특별자치도 제주시 서부두길 6 (건입동),제주특별자치도 제주시 건입동 1319번지 82호 ,109,064-758-9202,회집
51,일반음식점,오뚜기,제주특별자치도 제주시 용남길 27 (용담일동),제주특별자치도 제주시 용담일동 242번지 10호 ,50.95,064-753-9909,한식
52,일반음식점,장어나라,제주특별자치도 제주시 중앙로 133 (이도일동),제주특별자치도 제주시 이도일동 1708번지 2호 ,94.7,064-722-3913,중국식
53,일반음식점,복집,제주특별자치도 제주시 비룡길 5 (용담일동),제주특별자치도 제주시 용담일동 109번지 ,56,064-722-5503,한식
54,일반음식점,도원춘,제주특별자치도 제주시 한림읍 명랑로 15 1층,제주특별자치도 제주시 한림읍 한림리 1232번지 2호 ,172.49,064-796-6264,중국식
55,일반음식점,보영반점,제주특별자치도 제주시 한림읍 한림로 692-1,제주특별자치도 제주시 한림읍 한림리 1305번지 16호 ,139.3,064-796-2042,중국식
56,일반음식점,스치웬스메이,제주특별자치도 제주시 연동4길 16 1층 (연동),제주특별자치도 제주시 연동 253번지 29호 ,69.92,064-712-9369,중국식
57,일반음식점,수왕,,제주특별자치도 제주시 일도일동 1442번지 ,33.28,064-752-0554,한식
58,일반음식점,해원,제주특별자치도 제주시 서해안로 687-6 1~2층 (용담이동),제주특별자치도 제주시 용담이동 488번지 1 2층 ,548.97,064-711-2552,회집
59,일반음식점,한일실비집,제주특별자치도 제주시 동문로4길 14 1층 (일도일동),제주특별자치도 제주시 일도일동 1144번지 1호 ,18,064-722-1077,한식
60,일반음식점,태화,제주특별자치도 제주시 고마로11길 11 1층 (일도이동),제주특별자치도 제주시 일도이동 329번지 20호 ,24,064-757-0820,한식
61,일반음식점,만복,제주특별자치도 제주시 서문로4길 13-2 140호 (용담일동),제주특별자치도 제주시 용담일동 135번지 9호 140호,24.36,064-757-4056,한식
62,일반음식점,청호정,제주특별자치도 제주시 신대로10길 10 (연동),제주특별자치도 제주시 연동 291번지 119호 ,86.4,,한식
63,일반음식점,연자,제주특별자치도 제주시 신산로7길 65 (일도이동(1층)),제주특별자치도 제주시 일도이동 981번지 5호 (1층) ,31.68,064-752-9522,한식
64,일반음식점,고가네치킨,제주특별자치도 제주시 중앙로 46-1 (일도일동),제주특별자치도 제주시 일도일동 1386번지 3호 ,37.5,,호프/통닭
65,일반음식점,북경반점,제주특별자치도 제주시 전농로 117 (이도일동),제주특별자치도 제주시 이도일동 1690번지 9호 ,149.77,064-722-4256,중국식
66,일반음식점,전라도,제주특별자치도 제주시 신광로 75 (연동),제주특별자치도 제주시 연동 274번지 6호 ,109,064-746-4711,한식
67,일반음식점,만강홍,제주특별자치도 제주시 한림읍 한림로 634,제주특별자치도 제주시 한림읍 한림리 1390번지 5호 ,201.01,064-796-1771,중국식
68,일반음식점,또와식당,제주특별자치도 제주시 한경면 고산로 4,제주특별자치도 제주시 한경면 고산리 2863번지 6호 ,33,064-773-1188,중국식
69,일반음식점,달맞이,제주특별자치도 제주시 신광로 32-1 (연동),제주특별자치도 제주시 연동 261번지 7호 ,75,064-746-3926,한식
70,일반음식점,신해바라기,제주특별자치도 제주시 관덕로13길 13 (일도일동),제주특별자치도 제주시 일도일동 1342번지 4호 ,32.67,064-757-3277,분식
71,일반음식점,순희실내포장마차,,제주특별자치도 제주시 삼도이동 868번지 ,30,,호프/통닭
72,일반음식점,서문대우식당,제주특별자치도 제주시 서문로4길 13-2 (용담일동),제주특별자치도 제주시 용담일동 135번지 9호 ,20.72,064-753-8375,한식
73,일반음식점,연동바다장어,제주특별자치도 제주시 삼무로3길 24 (연동),제주특별자치도 제주시 연동 291번지 6호 ,115,,까페
74,일반음식점,남촌,제주특별자치도 제주시 서광로 174 (오라일동),제주특별자치도 제주시 오라일동 2441번지  2443 ,24.36,064-753-1502,한식
75,일반음식점,송림반점,,제주특별자치도 제주시 삼도이동 857번지 ,33,064-722-4229,중국식
76,일반음식점,해녀,제주특별자치도 제주시 탑동로 35 (삼도이동),제주특별자치도 제주시 삼도이동 1192번지 11호 ,79.2,064-724-6212,회집
77,일반음식점,영빈각,제주특별자치도 제주시 탑동로 13 (삼도이동),제주특별자치도 제주시 삼도이동 1192번지 29호 ,182.9,064-722-3119,회집
78,일반음식점,해동,,제주특별자치도 제주시 오라일동 2441번지 ,13.2,064-753-5552,한식
79,일반음식점,우정횟집,제주특별자치도 제주시 서부두길 16 (건입동),제주특별자치도 제주시 건입동 1319번지 32호 ,245,064-757-4202,회집
80,일반음식점,광주복국,제주특별자치도 제주시 탑동로 31 (삼도이동),제주특별자치도 제주시 삼도이동 1192번지 12호 ,82.5,064-753-3049,복어취급
81,일반음식점,금보성,제주특별자치도 제주시 서광로29길 24 101호 (이도일동),제주특별자치도 제주시 이도일동 1685번지 9호 101호,95.25,064-757-4025,중국식
82,일반음식점,대광,제주특별자치도 제주시 동광로4길 9-1 (이도이동),제주특별자치도 제주시 이도이동 1176번지 13호 ,155.89,064-758-7768,식육(숯불구이)
83,일반음식점,씨가,제주특별자치도 제주시 평전길 10 (삼도일동),제주특별자치도 제주시 삼도일동 534번지 2호 ,32,064-754-5076,한식
84,일반음식점,남양,제주특별자치도 제주시 중앙로 25 (일도일동),제주특별자치도 제주시 일도일동 1278번지 1호 ,25.6,064-752-2402,한식
85,일반음식점,한라,제주특별자치도 제주시 광양9길 19 (이도이동),제주특별자치도 제주시 이도이동 1176번지 116호 ,95,064-758-8301,한식
86,일반음식점,늘솜,제주특별자치도 제주시 서광로2길 11-20 (오라일동),제주특별자치도 제주시 오라일동 2444번지 16호 ,39,064-756-3536,호프/통닭
87,일반음식점,중원(반점),제주특별자치도 제주시 삼무로 44 (연동),제주특별자치도 제주시 연동 272번지 25호 ,144.36,064-746-1288,중국식
88,일반음식점,대구,제주특별자치도 제주시 서광로 173 (용담일동),제주특별자치도 제주시 용담일동 2829번지 3호 ,85,064-753-3598,중국식
89,일반음식점,풍남,제주특별자치도 제주시 신대로 149 (연동),제주특별자치도 제주시 연동 304번지 28호 ,199.78,064-746-3491,한식
90,일반음식점,명륜,제주특별자치도 제주시 서광로29길 34-6 (이도일동),제주특별자치도 제주시 이도일동 1687번지 8호 ,48,064-721-0956,까페
91,일반음식점,무진장,제주특별자치도 제주시 관덕로11길 36 (건입동),제주특별자치도 제주시 건입동 1406번지 1호 ,141.9,064-722-2672,회집
92,일반음식점,하나미,제주특별자치도 제주시 관덕로13길 3 (일도일동),제주특별자치도 제주시 일도일동 1465번지 4호 ,51.51,064-726-9375,일식
93,일반음식점,목동,제주특별자치도 제주시 관덕로13길 3 (일도일동),제주특별자치도 제주시 일도일동 1465번지 4호 ,44,064-757-0828,한식
94,일반음식점,영미,제주특별자치도 제주시 신산로2길 9 (일도일동),제주특별자치도 제주시 일도일동 1066번지 26호 ,20,064-752-0684,한식
95,일반음식점,해녀촌식당,제주특별자치도 제주시 구좌읍 동복로 33,제주특별자치도 제주시 구좌읍 동복리 1638번지 1호 ,173.2,064-783-5438,한식
96,일반음식점,성안식당,제주특별자치도 제주시 한경면 고락로 2 1층,제주특별자치도 제주시 한경면 고산리 2211번지 1호 ,114.38,064-773-2323,한식
97,일반음식점,고관심해장국,제주특별자치도 제주시 한경면 용고로 86,제주특별자치도 제주시 한경면 고산리 2822번지 17호 ,59.91,064-772-2825,한식
98,일반음식점,사리원,제주특별자치도 제주시 진군2길 9 (노형동),제주특별자치도 제주시 노형동 748번지 1호 ,142.6,064-746-3981,중국식
99,일반음식점,해광,제주특별자치도 제주시 산지로 1-2 (건입동),제주특별자치도 제주시 건입동 1310번지 1호 ,51.1,064-722-2272,한식
100,일반음식점,영흥반점,제주특별자치도 제주시 중앙로 88-8 (이도일동),제주특별자치도 제주시 이도일동 1464번지 1호 ,45,064-755-6466,중국식
101,일반음식점,국진장,제주특별자치도 제주시 전농로 56-1 (삼도일동),제주특별자치도 제주시 삼도일동 529번지 11호 ,51,064-757-3254,중국식
102,일반음식점,삼일,제주특별자치도 제주시 남성로 154 (삼도이동),제주특별자치도 제주시 삼도이동 811번지 9호 ,16,064-755-3569,한식
103,일반음식점,복지,제주특별자치도 제주시 광양7길 16 (이도이동),제주특별자치도 제주시 이도이동 1176번지 28호 ,130,064-757-1858,한식
104,일반음식점,화성,제주특별자치도 제주시 일주동로 383 (삼양이동),제주특별자치도 제주시 삼양이동 2137번지 26호 ,44.6,064-755-0285,한식
105,일반음식점,동이트는집신제주점,제주특별자치도 제주시 연동9길 13 (연동),제주특별자치도 제주시 연동 282번지 22호 ,78,064-749-2309,한식
106,일반음식점,세기,제주특별자치도 제주시 동광로1길 32 (이도일동),제주특별자치도 제주시 이도일동 1289번지 5호 ,12.4,064-757-4713,한식
107,일반음식점,남문,제주특별자치도 제주시 중앙로21길 2 (이도일동),제주특별자치도 제주시 이도일동 1709번지 2호 ,23,064-757-1814,한식
108,일반음식점,정일품,제주특별자치도 제주시 한림읍 한림해안로 154,제주특별자치도 제주시 한림읍 한림리 1328번지 40호 ,273,064-796-5449,한식
109,일반음식점,안전,제주특별자치도 제주시 사라봉길 4 (건입동),제주특별자치도 제주시 건입동 709번지 3호 ,59.64,064-752-3935,한식
110,일반음식점,윤희,제주특별자치도 제주시 관덕로2길 2 (삼도이동),제주특별자치도 제주시 삼도이동 843번지 ,26,,까페
111,일반음식점,길목,제주특별자치도 제주시 신광로 46 (연동),제주특별자치도 제주시 연동 261번지 20호 ,15.36,064-746-4502,통닭(치킨)
112,일반음식점,자영,제주특별자치도 제주시 서광로4길 10 (오라일동),제주특별자치도 제주시 오라일동 2442번지 15호 ,21,064-747-3115,한식
113,일반음식점,청림,제주특별자치도 제주시 관덕로11길 31 (건입동),제주특별자치도 제주시 건입동 1401번지 4호 ,19.78,064-755-8103,한식
114,일반음식점,야래향,제주특별자치도 제주시 동문로10길 6 (일도일동),제주특별자치도 제주시 일도일동 1066번지 1호 ,35.08,064-753-3386,까페
115,일반음식점,화룡각,제주특별자치도 제주시 산지로 13-1 (건입동 제1호),제주특별자치도 제주시 건입동 1158번지 1호 제1호(1층) ,108.05,064-722-3353,중국식
116,일반음식점,미송식탁,제주특별자치도 제주시 삼무로11길 36 (연동),제주특별자치도 제주시 연동 291번지 26호 ,35.26,064-746-5942,한식
117,일반음식점,도남반점,제주특별자치도 제주시 서광로20길 17 (삼도일동),제주특별자치도 제주시 삼도일동 576번지 21호 ,26.5,064-758-7655,중국식
118,일반음식점,산호,제주특별자치도 제주시 신광로4길 17 (연동),제주특별자치도 제주시 연동 261번지 43호 ,64,064-748-0444,식육(숯불구이)
119,일반음식점,고가네백반정식,제주특별자치도 제주시 삼무로3길 46 (연동),제주특별자치도 제주시 연동 271번지 30호 ,55.56,064-748-7676,한식
120,일반음식점,만부정,제주특별자치도 제주시 사장길 38 (연동),제주특별자치도 제주시 연동 298번지 9호 ,256.36,064-743-1119,복어취급
121,일반음식점,미성,제주특별자치도 제주시 서문로4길 13-2 130호 (용담일동),제주특별자치도 제주시 용담일동 135번지 9호 130호,20.4,064-756-1881,한식
122,일반음식점,초원식당,제주특별자치도 제주시 조천읍 신북로 598,제주특별자치도 제주시 조천읍 함덕리 954번지 35호 ,217.25,064-783-8527,한식
123,일반음식점,산굼부리식당,제주특별자치도 제주시 조천읍 비자림로 768,제주특별자치도 제주시 조천읍 교래리 342번지 5호 ,44,064-783-9900,한식
124,일반음식점,중앙식당,제주특별자치도 제주시 추자면 추자로 8-1,제주특별자치도 제주시 추자면 대서리 5번지 10호 ,49.4,064-742-3735,한식
125,일반음식점,돈까스7130,제주특별자치도 제주시 신대로9길 7 (연동),제주특별자치도 제주시 연동 311번지 20호 ,39.6,064-713-3179,한식
126,일반음식점,맛짱김밥서문점,제주특별자치도 제주시 용담로 84 (용담이동),제주특별자치도 제주시 용담이동 359번지 48호 ,30,064-746-4081,김밥(도시락)
127,일반음식점,생일집,제주특별자치도 제주시 도남로16길 25-2 (도남동),제주특별자치도 제주시 도남동 64번지 1호 ,29.7,064-752-8875,한식
128,일반음식점,호수아귀찜,제주특별자치도 제주시 중앙로 137-1 (이도일동),제주특별자치도 제주시 이도일동 1708번지 16호 ,23.46,064-722-5310,한식
129,일반음식점,아성,제주특별자치도 제주시 신성로 59 (도남동),제주특별자치도 제주시 도남동 907번지 22호 ,21.6,064-758-8034,중국식
130,일반음식점,유선,제주특별자치도 제주시 중앙로2길 5 (삼도이동),제주특별자치도 제주시 삼도이동 1번지 3호 ,76.32,064-753-0225,한식
131,일반음식점,홍보석,제주특별자치도 제주시 비월길 5 (연동),제주특별자치도 제주시 연동 314번지 112호 ,30,064-746-4037,중국식
132,일반음식점,영양,제주특별자치도 제주시 남성로 20-1 (용담일동),제주특별자치도 제주시 용담일동 2821번지 ,42.6,064-753-4803,중국식
133,일반음식점,마리나,제주특별자치도 제주시 신대로 45 (연동),제주특별자치도 제주시 연동 300번지 8호 ,311.56,064-746-6161,한식
134,일반음식점,해안가든,제주특별자치도 제주시 해안마을길 56 (해안동),제주특별자치도 제주시 해안동 1970번지 8호 ,79,064-752-6041,한식
135,일반음식점,오장수,제주특별자치도 제주시 신성로2길 지하 52 (도남동),제주특별자치도 제주시 도남동 53번지 17호 (지하1층) ,50,064-722-1160,한식
136,일반음식점,윤가네뼈다귀,제주특별자치도 제주시 화남로 53 (화북일동),제주특별자치도 제주시 화북일동 2154번지 11호 ,84.65,064-753-8379,한식
137,일반음식점,대아,제주특별자치도 제주시 제원3길 11 (연동),제주특별자치도 제주시 연동 262번지 23호 (1층) ,78.86,064-742-4766,한식
138,일반음식점,유자삼계탕,제주특별자치도 제주시 서광로4길 5 (오라일동),제주특별자치도 제주시 오라일동 2443번지 1호 ,47.45,064-752-7370,한식
139,일반음식점,먹이사냥,제주특별자치도 제주시 한림읍 한림로 674 1층,제주특별자치도 제주시 한림읍 한림리 1223번지 1호 ,44,064-796-2105,한식
140,일반음식점,홍림관,,제주특별자치도 제주시 애월읍 하귀1리 1384번지 41호 ,44.8,064-713-7070,한식
141,일반음식점,밀물식당,제주특별자치도 제주시 추자면 추자로 106-1,제주특별자치도 제주시 추자면 영흥리 8번지 3호 ,0,064-742-2359,한식
142,일반음식점,우당도서관구내,제주특별자치도 제주시 사라봉동길 30 (건입동),제주특별자치도 제주시 건입동 318번지 ,234,064-722-3391,한식
143,일반음식점,사대천황,제주특별자치도 제주시 광양10길 10 (이도이동),제주특별자치도 제주시 이도이동 1771번지 5호 ,99,064-758-5585,한식
144,일반음식점,임성반점,제주특별자치도 제주시 용화로 57-1 (용담이동),제주특별자치도 제주시 용담이동 622번지 1호 ,54.6,064-746-0921,중국식
145,일반음식점,옛날옛적에,제주특별자치도 제주시 광양2길 17 (이도일동),제주특별자치도 제주시 이도일동 1790번지 2호 ,49.2,064-722-2203,호프/통닭
146,일반음식점,해금강,제주특별자치도 제주시 서부두길 28 (건입동),제주특별자치도 제주시 건입동 1435번지 1호 ,97.4,064-753-3653,회집
147,일반음식점,비취,제주특별자치도 제주시 탑동로 17 (삼도이동),제주특별자치도 제주시 삼도이동 1192번지 14호 ,89.7,064-751-2121,한식
148,일반음식점,우연,제주특별자치도 제주시 신광로6길 2 (연동),제주특별자치도 제주시 연동 261번지 18호 ,40.2,064-746-5068,한식
149,일반음식점,전원장,제주특별자치도 제주시 가령골2길 19-4 (이도이동),제주특별자치도 제주시 이도이동 321번지 ,231,064-752-5504,한식
150,일반음식점,솔바위,제주특별자치도 제주시 가령골1길 1 (이도이동),제주특별자치도 제주시 이도이동 318번지 2호 ,184.52,064-757-1419,한식
151,일반음식점,대산,제주특별자치도 제주시 신대로 119 (연동),제주특별자치도 제주시 연동 303번지 30호 ,40,064-749-1589,한식
152,일반음식점,점심해결사,제주특별자치도 제주시 화남로 60 (화북일동),제주특별자치도 제주시 화북일동 2152번지 9호 ,70.8,064-721-8398,통닭(치킨)
153,일반음식점,통김치찌개,제주특별자치도 제주시 원노형로 51 (노형동),제주특별자치도 제주시 노형동 942번지 8호 ,80.26,064-752-2140,한식
154,일반음식점,옛집,제주특별자치도 제주시 신광로 53 (연동),제주특별자치도 제주시 연동 273번지 7호 ,65.28,064-742-3196,한식
155,일반음식점,벅스,제주특별자치도 제주시 신광로 48 (연동),제주특별자치도 제주시 연동 262번지 1호 ,48.9,064-742-2526,까페
156,일반음식점,장춘육당,제주특별자치도 제주시 신대로10길 36 1층 (연동),제주특별자치도 제주시 연동 281번지 6호 ,272.28,064-742-8556,한식
157,일반음식점,이가식당,제주특별자치도 제주시 조천읍 신북로 214,제주특별자치도 제주시 조천읍 조천리 2229번지 1호 ,0,064-783-6300,한식
158,일반음식점,네네치킨용담점,제주특별자치도 제주시 용문로 157 (용담이동(용문로22)),제주특별자치도 제주시 용담이동 641번지 1호 (용문로22) ,29,,통닭(치킨)
159,일반음식점,자양통닭,제주특별자치도 제주시 관덕로6길 17 (삼도이동(향사2로27)),제주특별자치도 제주시 삼도이동 108번지 16호 (향사2로27) ,166.4,064-757-4653,통닭(치킨)
160,일반음식점,순창,제주특별자치도 제주시 신광로4길 11 (연동(제원2로21)),제주특별자치도 제주시 연동 261번지 56호 (제원2로21) ,101.26,064-747-6444,식육(숯불구이)
161,일반음식점,대관원,제주특별자치도 제주시 신대로13길 3 (연동),제주특별자치도 제주시 연동 312번지 54호 ,148.07,064-746-6067,중국식
162,일반음식점,논짓물,제주특별자치도 제주시 신대로12길 41 (연동),제주특별자치도 제주시 연동 282번지 21호 ,28.62,064-747-2585,호프/통닭
163,일반음식점,치맥집칼호텔점,제주특별자치도 제주시 중앙로 135-1 (이도일동),제주특별자치도 제주시 이도일동 1708번지 3호 ,33,064-722-3457,호프/통닭
164,일반음식점,영자포차,제주특별자치도 제주시 고마로17길 11 (일도이동신산시장 112호 113호 114호),제주특별자치도 제주시 일도이동 377번지 11호 신산시장 112호 113호 114호 ,56.25,,호프/통닭
165,일반음식점,동수원,제주특별자치도 제주시 서광로22길 11 (삼도일동),제주특별자치도 제주시 삼도일동 580번지 7호 ,87.28,064-725-2724,한식
166,일반음식점,유한회사형석로얄,제주특별자치도 제주시 신대로12길 45 (연동(연중2로65)),제주특별자치도 제주시 연동 272번지 34호 (연중2로65) ,204,064-743-2222,한식
167,일반음식점,유한회사형석로얄,제주특별자치도 제주시 신대로12길 45 (연동(연중2로65)),제주특별자치도 제주시 연동 272번지 34호 (연중2로65) ,77,064-743-2222,한식
168,일반음식점,영천횟집,제주특별자치도 제주시 서부두길 22 1~3층 제2호 (건입동),제주특별자치도 제주시 건입동 1435번지 2호 ,165.84,064-752-4285,회집
169,일반음식점,(주)지앤엘(한일식),제주특별자치도 제주시 삼무로 67 (연동),제주특별자치도 제주시 연동 291번지 30호 ,177.57,064-741-8000,일식
170,일반음식점,유한회사형석로얄,제주특별자치도 제주시 신대로12길 45 (연동(연중2로65)),제주특별자치도 제주시 연동 272번지 34호 (연중2로65) ,54,064-743-2222,한식
171,일반음식점,(주)지앤엘(양식),제주특별자치도 제주시 삼무로 67 (연동),제주특별자치도 제주시 연동 291번지 30호 ,90.06,064-741-8000,경양식
172,일반음식점,남사우나스넥,제주특별자치도 제주시 중앙로 151 (이도일동),제주특별자치도 제주시 이도일동 1691번지 9호 ,48.12,064-724-2001,기타
173,일반음식점,스카이라운지,제주특별자치도 제주시 중앙로 151 (이도일동),제주특별자치도 제주시 이도일동 1691번지 9호 ,238.78,064-753-6151,까페
174,일반음식점,사라(한일식당),제주특별자치도 제주시 중앙로 151 (이도일동),제주특별자치도 제주시 이도일동 1691번지 9호 ,562.27,064-753-6151,일식
175,일반음식점,삼다정,제주특별자치도 제주시 노연로 80 (연동(1층)),제주특별자치도 제주시 연동 263번지 15호 (1층) ,1453.61,064-747-5000,뷔페식
176,일반음식점,곤지암,제주특별자치도 제주시 관덕로4길 4 1층 (삼도이동),제주특별자치도 제주시 삼도이동 944번지 2호 ,11.01,064-753-5018,한식
177,일반음식점,포동정식,제주특별자치도 제주시 문송길 18 (연동),제주특별자치도 제주시 연동 302번지 11호 ,49,,한식
