"야영(캠핑)장명",야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자
"제주돌하르방캠핑장",야영장,33.323923,126.239116,제주특별자치도 제주시 한경면 낙수로 271-40,제주특별자치도 제주시 한경면 청수리 2130,070-4548-9705,28,6668,195,150,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"방갈로,수영장,글램핑",,,064-728-2782,제주시청,2017-04-30
"비체올린",야영장,33.350109,126.218048,제주특별자치도 제주시 한경면 판조로 253-6,제주특별자치도 제주시 한경면 판포리 725-2,064-773-0000,22,26709,335.55,150,40,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"방갈로, 수영장, 카약체험장",,,064-728-2782,제주시청,2017-04-30
"교래자연휴양림야영장",야영장,33.441706,126.666661,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산98,064-710-7471,50,10000,929,500,200,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"풋살경기장, 야외쉼터, 휴양림",,,064-728-2782,제주시청,2017-04-30
"한라산국립공원관음사지구야영장",야영장,33.423353,126.548277,제주특별자치도 제주시 산록북로 588,제주특별자치도 제주시 오등동 산 180-3,064-710-7861,67,50248,,250,100,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,,,,064-728-2782,제주시청,2017-04-30
"귤빛캠핑장",야영장,33.504918,126.674363,제주특별자치도 제주시 조천읍 함와로 428,제주특별자치도 제주시 조천읍 대흘리 172,064-728-0110,25,5148,98.16,100,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"수영장, 카라반",,,064-728-2782,제주시청,2017-04-30
"제주에코힐글램핑",야영장,33.449729,126.440737,제주특별자치도 제주시 애월읍 광령평화8길 22,제주특별자치도 제주시 애월읍 광령리 926-3,064-743-0060,18,3749,174.94,96,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"수영장2명, 글램핑",,,064-728-2782,제주시청,2017-04-30
"골체오름캠핑",야영장,33.451484,126.704281,제주특별자치도 제주시 조천읍 번영로 1648-41,제주특별자치도 제주시 조천읍 선흘리 1858-1,,13,3267,95.7,60,15,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,방갈로,,,064-728-2782,제주시청,2017-04-30
"푸른밤글램핑하우스",야영장,33.499145,126.959612,제주특별자치도 제주시 우도면 영일길 77,제주특별자치도 제주시 우도면 연평리 428,,4,1498,45.44,24,4,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,글램핑,,,064-728-2782,제주시청,2017-04-30
"교래생태체험장",야영장,33.426015,126.671172,제주특별자치도 제주시 조천읍 교래4길 20-13,제주특별자치도 제주시 조천읍 교래리 636,,25,5648,400,25,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,,,,064-728-2782,제주시청,2017-04-30
"에코그린캠핑장",야영장,33.436518,126.289929,제주특별자치도 제주시 한림읍 귀덕6길 94,제주특별자치도 제주시 한림읍 귀덕리 1502,064-796-8333,4,1829.52,99.9,20,15,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"수영장, 리조트",,,064-728-2782,제주시청,2017-04-30
"㈜제주글램핑",야영장,33.500712,126.803291,제주특별자치도 제주시 구좌읍 중산간동로 1921,제주특별자치도 제주시 구좌읍 덕천리 1289-2,064-784-3200,81,25656,828.46,240,80,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"글램핑, 수영장",,,064-728-2782,제주시청,2017-04-30
"㈜자연인",야영장,33.468683,126.540052,제주특별자치도 제주시 아란서길 110,제주특별자치도 제주시 아라일동 2082-1,064-723-7500,20,12749,1795.22,40,47,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"글램핑, 야외공연",,,064-728-2782,제주시청,2017-04-30
"협재카라반하우스",야영장,33.392758,126.242401,제주특별자치도 제주시 한림읍 협재2길 25,제주특별자치도 제주시 한림읍 협재리 2522-1,,2,949,81.4,12,2,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2017-04-30
"제주베스트힐",야영장,33.454054,126.657509,제주특별자치도 제주시 조천읍 남조로 2109-38,제주특별자치도 제주시 조천읍 교래리 786-30,070-4400-3300,5,4221,393.93,20,5,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"글램핑, 체험농장",,,064-728-2782,제주시청,2017-04-30
"메이캠프",자동차야영장,33.551792,126.706678,제주특별자치도 제주시 구좌읍 일주동로 1626,제주특별자치도 제주시 구좌읍 동복리 1652-2,064-766-8888,8,2088,57,24,8,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 호텔",,,064-728-2782,제주시청,2017-04-30
"제주카라반",자동차야영장,33.548861,126.655126,제주특별자치도 제주시 조천읍 조함해안로 352,제주특별자치도 제주시 조천읍 신흥리 15,064-900-4151,4,903,68,12,4,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2017-04-30
