"업소명",업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
"벵디626",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 선교로 108-2,,,2,,,,,,33.48838742,126.7082149,2017-08-18
"산들애하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함대로 529-6,,,1,,,,,,33.49919563,126.6599416,2017-08-18
"신선가",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 남조로 2746-1,,,5,,,,,,33.50559118,126.6490131,2017-08-18
"일번지민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 와선로 216-41,,,2,,,,,,33.4796659,126.6982658,2017-08-18
"갈매기둥지",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조함해안로 514,,,4,,,,,,33.54250712,126.6676559,2017-08-18
"르마빈",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 일주동로 1528,,,7,,,,,,33.54873314,126.6972132,2017-08-18
"월정 cottage",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정3길 53-13,,,1,,,,,,33.55630594,126.7942312,2017-08-18
"평대스테이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대7길 28-2,,,1,,,,,,33.5307021,126.8437173,2017-08-18
"쁘띠메종",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정중길 12. 디동,,,2,,,,,,33.55641116,126.7915772,2017-08-18
"풀스토리",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정중길 12. 비동,,,2,,,,,,33.55641116,126.7915772,2017-08-18
"풀빌라 앨리",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정중길 12. 에이동,,,3,,,,,,33.55641116,126.7915772,2017-08-18
"한동향기",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 계룡길 20. 2호,,,3,,,,,,33.53750616,126.8359398,2017-08-18
"제주나봄",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대5길 35. 제1동,,,2,,,,,,33.53195022,126.841715,2017-08-18
"셉템버",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로4길,,,3,,,,,,33.55419779,126.8070648,2017-08-18
"바나나",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로 83,,,3,,,,,,33.5211893,126.8898994,2017-08-18
"제주 알모",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동로5길 22. B동,,,1,,,,,,33.53195096,126.8216366,2017-08-18
"바다다",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로 132,,,4,,,,,,33.52172456,126.895136,2017-08-18
"안나n폴",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 구좌로 148. 제1호,,,1,,,,,,33.52080299,126.866009,2017-08-18
"별방아래",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로1길 94,,,3,,,,,,33.52621214,126.8836265,2017-08-18
"제주8월",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로19길 51,,,1,,,,,,33.55662183,126.7500098,2017-08-18
"일우민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 일주동로 3430-119. 지동 B동,,,2,,,,,,33.50842199,126.8761421,2017-08-18
"행운민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 덕행로 262-13. 3동,,,3,,,,,,33.52809579,126.7878347,2017-08-18
"비자림숲길13",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 비자숲길 13. 3동,,,3,,,,,,33.49546591,126.811916,2017-08-18
"비자숲길15",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 비자숲길 15. 1동,,,2,,,,,,33.49521258,126.8118991,2017-08-18
"하도리의 아침",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1854. 가동,,,1,,,,,,33.52202109,126.8981756,2017-08-18
"제주첫날",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동로5길 16,,,1,,,,,,33.53220399,126.8215306,2017-08-18
"오름길벗 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 중산간동로 2231,,,4,,,,,,33.47212469,126.7814891,2017-08-18
"쉬멍 놀멍 자멍",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대서길 3,,,2,,,,,,33.5338098,126.8387527,2017-08-18
"제주하도",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도리 1583. 제1호,,,1,,,,,,,,2017-08-18
"제이루",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대2길 39-47,,,3,,,,,,33.53578373,126.8381446,2017-08-18
"평대 빌리지",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대2길 25-1,,,1,,,,,,33.533203,126.8383027,2017-08-18
"월정리 바다별",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정1길 23,,,6,,,,,,33.55400747,126.7905877,2017-08-18
"다락마마",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 상하도길 46-16,,,4,,,,,,33.51719934,126.8661761,2017-08-18
"스테이 달 ring",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정7길 59,,,1,,,,,,33.55534189,126.7953443,2017-08-18
"노란대문집",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로1길 59,,,1,,,,,,33.55790975,126.7499933,2017-08-18
"쏘쏘",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동로3길 26,,,3,,,,,,33.53382379,126.8265363,2017-08-18
"스테이 하루",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 상하도길 46-24. 제1동,,,2,,,,,,33.51771744,126.8657537,2017-08-18
"걱정말아요 제주",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 상도북4길 1,,,1,,,,,,33.52092494,126.8649394,2017-08-18
"한동이스케이프",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 계룡길 5. 제2동,,,1,,,,,,33.5364635,126.8353832,2017-08-18
"김녕할망네",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로17길 25,,,1,,,,,,33.55755738,126.7534336,2017-08-18
"담뜨락",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로3길 38,,,1,,,,,,33.52116451,126.8838825,2017-08-18
"동춘스테이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로2길 15,,,1,,,,,,33.55411948,126.7435091,2017-08-18
"별방21",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로1길 74-22,,,4,,,,,,33.52540077,126.8849838,2017-08-18
"호연스테이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동북1길 51 제1동,,,4,,,,,,33.54241001,126.8298603,2017-08-18
"크리스탈",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화1길 13 2층,,,3,,,,,,33.52471843,126.8540385,2017-08-18
"해밀",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정중길 13,,,3,,,,,,33.55662708,126.7912808,2017-08-18
"제주 베리베리펜션",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동로1길 25-1,,,4,,,,,,33.53580031,126.8268375,2017-08-18
"놀멍쉬멍",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 번영로 2281-1,,,1,,,,,,33.42142726,126.7585094,2017-08-18
"아트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 일주동로 2410 가동,,,2,,,,,,33.55161435,126.7868194,2017-08-18
"월정리에",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정1길 82-5,,,1,,,,,,33.55818613,126.7933437,2017-08-18
"세화 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 대수길 10-12 제4호,,,1,,,,,,33.53642071,126.839439,2017-08-18
J 김녕 169,민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로 169,,,2,,,,,,33.55613031,126.7558424,2017-08-18
"스페샬",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로 80. 2층,,,2,,,,,,33.55419762,126.7466831,2017-08-18
"세화리움",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해녀박물관길 29,,,2,,,,,,33.52356153,126.8622103,2017-08-18
"래빗홀",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동북1길 9-14 B동,,,1,,,,,,33.54036701,126.8261001,2017-08-18
"어떤날",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로 113,,,5,,,,,,33.5536864,126.8072807,2017-08-18
"달집",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 종달논길 32-3,,,2,,,,,,33.49364432,126.9010611,2017-08-18
"에메랄드캐슬",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로21길 23,,,6,,,,,,33.55782185,126.7549738,2017-08-18
"폭낭 올레집",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 동복로3길 1-1 바깥채,,,1,,,,,,33.55333762,126.7128746,2017-08-18
"김녕 몽생이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로1길 35-14,,,1,,,,,,33.55719757,126.748123,2017-08-18
"제주퐁당 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화8길 7 바깥채,,,3,,,,,,33.52148452,126.8575114,2017-08-18
"싸리즈",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도7길 130-15,,,4,,,,,,33.51812553,126.8973938,2017-08-18
"데이엔",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도7길 54,,,2,,,,,,33.51563817,126.888820,2017-08-18
"써니허니 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 중산간동로 2234 (주건물),,,2,,,,,,33.47164546,126.7812013,2017-08-18
"밍기적",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정1길 54-8 안채,,,2,,,,,,33.55574457,126.7930902,2017-08-18
"레드우드하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 종달로1길 62,,,7,,,,,,33.49571718,126.9021041,2017-08-18
"달잠",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화7길 23-5 바깥채,,,1,,,,,,33.52416468,126.8601441,2017-08-18
"폴레폴레 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1766-12,,,6,,,,,,33.52642106,126.889602,2017-08-18
"포비네 오두막",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로4길 26 제1동,,,2,,,,,,33.55140191,126.8059738,2017-08-18
"루나마르",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정1길 36 가동,,,5,,,,,,33.55460215,126.7918189,2017-08-18
"하도조아",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도7길 20-7 바깥채,,,1,,,,,,33.51624175,126.8871357,2017-08-18
"오션빌",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 덕행로 262-17 제1동,,,1,,,,,,33.52808112,126.7872079,2017-08-18
"산호",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로2길 20 안채,,,1,,,,,,33.55373832,126.7434354,2017-08-18
"사차원 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 덕행로 519-10 제1호,,,2,,,,,,33.5069374,126.777623,2017-08-18
"로뎀",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 계룡길 25-20,,,4,,,,,,,,2017-08-18
"세화2층",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화7길 17-6,,,1,,,,,,33.52409598,126.859760,2017-08-18
"더들집 2",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 동복로1길 23-3 제1동,,,1,,,,,,33.55444513,126.7129731,2017-08-18
"쪼인게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정1길 62-2,,,1,,,,,,33.55621617,126.7932631,2017-08-18
"에일린게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화4길 15,,,6,,,,,,33.52216333,126.8554877,2017-08-18
"더들집",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 동복로1길 23-3 재2동,,,1,,,,,,33.55444513,126.7129731,2017-08-18
"길리1438",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로7길 23-25,,,1,,,,,,33.55570158,126.8059471,2017-08-18
"다노이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 동복로 51,,,3,,,,,,33.55323174,126.7117347,2017-08-18
"책닦는남자",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동북1길 34-6,,,4,,,,,,33.54103938,126.8288672,2017-08-18
"한모살",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로1길 26,,,6,,,,,,33.55421915,126.8002832,2017-08-18
"세화맨션",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화7길 17-10 A동,,,1,,,,,,33.52437572,126.8596659,2017-08-18
"이런날N",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동북1길 60 C동,,,1,,,,,,33.54262583,126.8305675,2017-08-18
"하늘을 달리다",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로5길 25 안채,,,1,,,,,,33.52087888,126.887179,2017-08-18
"바다향기",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로1길 32,,,5,,,,,,33.55495762,126.7999287,2017-08-18
"벵디 1967",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대2길 39-11 제1동,,,1,,,,,,33.53492835,126.8380184,2017-08-18
"더 하도",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도13길 66,,,1,,,,,,33.51049656,126.8929294,2017-08-18
"나집",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정중길 62,,,1,,,,,,33.55779272,126.7942843,2017-08-18
"연이네다락방 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 동복로 56-3 제1동,,,5,,,,,,33.55264448,126.7122605,2017-08-18
"근동이네",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 동복로2길 2 (안채),,,2,,,,,,33.55279645,126.7125176,2017-08-18
"하도리 민박집",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로 22-1 (바깥채),,,1,,,,,,33.51819036,126.8850958,2017-08-18
"추자면 신등대민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로12,,,4,,,,,,33.96330784,126.2976116,2017-08-18
"추자면 이레민박",민박,내국인,,제주특별자치도 제주시 추자면 신양1길22-9,,,3,,,,,,33.94533849,126.324628,2017-08-18
"추자면 추자도올레민박",민박,내국인,,제주특별자치도 제주시 추자면 대서2길23,,,4,,,,,,33.96380495,126.2976988,2017-08-18
"추자면 봉골레하우스민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로94-1,,,4,,,,,,33.95971069,126.2962729,2017-08-18
"추자면 다미네민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로32,,,2,,,,,,33.96321667,126.2959267,2017-08-18
"추자면 벧엘민박",민박,내국인,,제주특별자치도 제주시 추자면 대서4길25-24,,,2,,,,,,33.9625731,126.2929794,2017-08-18
"추자면 골드피쉬민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로96,,,1,,,,,,33.95959643,126.2963604,2017-08-18
"추자면 그린민박투",민박,내국인,,제주특별자치도 제주시 추자면 대서6길6-5,,,6,,,,,,33.96204598,126.2936014,2017-08-18
"추자면 배가네민박",민박,내국인,,제주특별자치도 제주시 추자면 대서1길3-8,,,2,,,,,,33.96263329,126.2983917,2017-08-18
"추자면 에벤에셀민박",민박,내국인,,제주특별자치도 제주시 추자면 대서5길9,,,3,,,,,,33.96268884,126.2988168,2017-08-18
"추자면 영흥민박",민박,내국인,,제주특별자치도 제주시 추자면 영흥2길21-2,,,2,,,,,,33.95881152,126.295735,2017-08-18
"추자면 밀물민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로106-1,,,1,,,,,,33.95987623,126.2976292,2017-08-18
"추자면 대양민박",민박,내국인,,제주특별자치도 제주시 추자면 신양서길 73,,,2,,,,,,33.94178303,126.3203237,2017-08-18
"추자면 갤러리민박",민박,내국인,,제주특별자치도 제주시 추자면 신양서길 42-2,,,1,,,,,,33.94240033,126.3215482,2017-08-18
"추자면 조은민박",민박,내국인,,제주특별자치도 제주시 추자면 대서4길 6,,,2,,,,,,33.96305293,126.2943649,2017-08-18
"추자면 추자도에코하우스민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로657,,,2,,,,,,33.94974037,126.3292531,2017-08-18
"추자면 추자피싱랜드",민박,내국인,,제주특별자치도 제주시 추자면 신양4길18,,,5,,,,,,33.94713475,126.332045,2017-08-18
"추자면 대물민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로507,,,6,,,,,,33.94084311,126.3237707,2017-08-18
"추자면 청정고을민박",민박,내국인,,제주특별자치도 제주시 추자면 대서1길6,,,1,,,,,,33.96266158,126.2984785,2017-08-18
"추자면 추자섬민박",민박,내국인,,제주특별자치도 제주시 추자면 대서5길86,,,4,,,,,,33.9625746,126.2902751,2017-08-18
"추자면 레몬이네민박",민박,내국인,,제주특별자치도 제주시 추자면 대서6길46,,,3,,,,,,33.96171739,126.2923776,2017-08-18
"추자면 추자민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로505,,,3,,,,,,33.9407171,126.3237262,2017-08-18
"추자면 블루오션민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로16-2,,,4,,,,,,33.9636229,126.2972047,2017-08-18
"추자면 그린민박",민박,내국인,,제주특별자치도 제주시 추자면 대서6길6-5,,,5,,,,,,33.96204598,126.2936014,2017-08-18
"추자면 유창민박",민박,내국인,,제주특별자치도 제주시 추자면 대서3길39,,,4,,,,,,33.96290401,126.2949036,2017-08-18
"추자면 아이콘민박",민박,내국인,,제주특별자치도 제주시 추자면 신양서길42-17,,,4,,,,,,33.94365086,126.3213635,2017-08-18
"추자면 고려민박",민박,내국인,,제주특별자치도 제주시 추자면 영흥4길 70-2,,,3,,,,,,33.95861971,126.2974749,2017-08-18
"추자면 해성민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로54-3,,,3,,,,,,33.96221104,126.2939159,2017-08-18
"추자면 동일민박",민박,내국인,,제주특별자치도 제주시 추자면 대서1길9-6,,,5,,,,,,33.96263093,126.2989248,2017-08-18
"추자면 후포민박",민박,내국인,,제주특별자치도 제주시 추자면 대서5길54,,,6,,,,,,33.96240133,126.2918515,2017-08-18
"추자면 아름다운펜션민박",민박,내국인,,제주특별자치도 제주시 추자면 영흥4길70-2,,,4,,,,,,33.95861971,126.2974749,2017-08-18
"추자면 김선장네민박",민박,내국인,,제주특별자치도 제주시 추자면 영흥1길14,,,3,,,,,,33.96102791,126.2944578,2017-08-18
"추자면 유림민박",민박,내국인,,제주특별자치도 제주시 추자면 신양2길26-1,,,4,,,,,,,,2017-08-18
"추자면 가희민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로58-1,,,4,,,,,,33.96189733,126.2939094,2017-08-18
"추자면 별장민박",민박,내국인,,제주특별자치도 제주시 추자면 대서1길9-6,,,5,,,,,,33.96263093,126.2989248,2017-08-18
"추자면 물돌이민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로561,,,6,,,,,,33.94512863,126.3266643,2017-08-18
"추자면 가고파민박",민박,내국인,,제주특별자치도 제주시 추자면 묵리2길17-1,,,2,,,,,,33.9453279,126.3134853,2017-08-18
"추자면 다도민박",민박,내국인,,제주특별자치도 제주시 추자면 묵리2길95,,,5,,,,,,33.94530127,126.3173577,2017-08-18
"추자면 해송민박",민박,내국인,,제주특별자치도 제주시 추자면 영흥1길22,,,5,,,,,,33.96074977,126.2949185,2017-08-18
"추자면 나바론민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로76-1,,,4,,,,,,33.96081765,126.2953408,2017-08-18
"추자면 태성민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로54-3,,,4,,,,,,33.96221104,126.2939159,2017-08-18
"추자면 동운민박",민박,내국인,,제주특별자치도 제주시 추자면 대서4길12,,,3,,,,,,33.96317684,126.2940476,2017-08-18
"추자면 사수민박",민박,내국인,,제주특별자치도 제주시 추자면 영흥3길45-3,,,4,,,,,,33.95854793,126.2961453,2017-08-18
"추자면 훈이네민박",민박,내국인,,제주특별자치도 제주시 추자면 추자로471,,,2,,,,,,33.94116879,126.3206528,2017-08-18
"추자면 사계절민박",민박,내국인,,제주특별자치도 제주시 추자면 신양2길12,,,3,,,,,,33.94565411,126.3290619,2017-08-18
"추자면 등대민박",민박,내국인,,제주특별자치도 제주시 추자면 대서2길35,,,4,,,,,,33.96323665,126.298029,2017-08-18
"경순민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조함해안로 552-1,,,4,,,,,,33.54230151,126.6719074,2017-08-18
"앤셜리하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 대흘2길 8-2,,,2,,,,,,33.49766749,126.6542304,2017-08-18
"눈먼고래",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조천7길 19-12,,,2,,,,,,33.53849953,126.6344612,2017-08-18
"그린제주민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌북길 36,,,2,,,,,,33.5498163,126.6903742,2017-08-18
"반디앤로제이",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조함해안로 142-40 A동,,,4,,,,,,33.54528168,126.6416767,2017-08-18
"조천스위스마을214동",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함와로 566-29. 214동,,,2,,,,,,33.49526473,126.6762379,2017-08-18
"소라담하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌남8길 10,,,1,,,,,,33.53019829,126.6224725,2017-08-18
"눈큰새우게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조천7길 25,,,7,,,,,,33.53850885,126.6352575,2017-08-18
