연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
46,제과점영업,파리바게뜨제주중앙점,제주특별자치도 제주시 중앙로 73 (이도일동),제주특별자치도 제주시 이도일동 1410번지 4호 ,57.71,064-759-0083,제과점영업
47,제과점영업,제주시농협하나로마트,제주특별자치도 제주시 남광로 206 (일도이동 제2호),제주특별자치도 제주시 일도이동 1번지 외5필지 제2호(1층) ,100.14,064-729-1551,제과점영업
48,제과점영업,프랑세즈,제주특별자치도 제주시 용화로 52 (용담이동),제주특별자치도 제주시 용담이동 627번지 28호 ,35,064-711-0435,제과점영업
49,제과점영업,맛이아름다운빵집,제주특별자치도 제주시 일주동로 370 (삼양이동),제주특별자치도 제주시 삼양이동 2180번지 2호 ,67.5,064-759-0080,제과점영업
50,제과점영업,오누이,제주특별자치도 제주시 다랑곶길 30 (노형동),제주특별자치도 제주시 노형동 1291번지 3호 ,28.73,064-748-0233,제과점영업
51,제과점영업,빵만드는마을,제주특별자치도 제주시 서광로 238 (삼도일동),제주특별자치도 제주시 삼도일동 572번지 10호 ,32.4,064-721-1044,제과점영업
52,제과점영업,파리바게뜨노형점,제주특별자치도 제주시 남녕로 25 (노형동),제주특별자치도 제주시 노형동 1273번지 1호 ,117.99,064-749-8200,제과점영업
53,제과점영업,고튼올레,제주특별자치도 제주시 중앙로 573 (아라일동),제주특별자치도 제주시 아라일동 1697번지 3호 ,29.7,064-726-4922,제과점영업
54,제과점영업,조은아침베이커리,제주특별자치도 제주시 우정로15길 13 (외도일동),제주특별자치도 제주시 외도일동 639번지 4호 ,28.5,064-743-3617,제과점영업
55,제과점영업,유명제과,제주특별자치도 제주시 한경면 고산로 26 1층,제주특별자치도 제주시 한경면 고산리 2210번지 1호 ,47.11,064-772-2661,제과점영업
56,제과점영업,고산빵제과,제주특별자치도 제주시 한경면 고산로 18,제주특별자치도 제주시 한경면 고산리 2200번지 1호 ,43.06,064-772-4709,제과점영업
57,제과점영업,하나로베이커리,제주특별자치도 제주시 한림읍 한림상로 101,제주특별자치도 제주시 한림읍 한림리 1560번지 ,16,,제과점영업
58,제과점영업,행복빵집,제주특별자치도 제주시 서광로 239 (삼도일동),제주특별자치도 제주시 삼도일동 553번지 4호 ,52,064-757-4998,제과점영업
59,제과점영업,파리바게뜨신제주점,제주특별자치도 제주시 신광로 47 (연동),제주특별자치도 제주시 연동 273번지 1호 ,92,064-747-8240,제과점영업
60,제과점영업,빵굽는아저씨,제주특별자치도 제주시 과원북2길 66-1 (연동),제주특별자치도 제주시 연동 1496번지 4호 ,66.3,064-749-4545,제과점영업
61,제과점영업,홍마트베이커리,제주특별자치도 제주시 사메기길 53-1 (외도일동블럭2롯트),제주특별자치도 제주시 외도일동 47번지 블럭2롯트 ,33.92,064-743-0500,제과점영업
62,제과점영업,파리바게트제주법원점,제주특별자치도 제주시 중앙로 323 (이도이동),제주특별자치도 제주시 이도이동 1080번지 4호 (1층) ,103.05,064-702-0053,제과점영업
63,제과점영업,구좌농협하나로마트,제주특별자치도 제주시 구좌읍 세평항로 13,제주특별자치도 제주시 구좌읍 평대리 3351번지 2호 ,0,,제과점영업
64,제과점영업,파리바게뜨연동1호점,제주특별자치도 제주시 국기로 8 (연동),제주특별자치도 제주시 연동 1456번지 1호 ,63.32,064-711-8608,제과점영업
65,제과점영업,탑베이커리,제주특별자치도 제주시 용한로 3 (용담이동),제주특별자치도 제주시 용담이동 357번지 55호 ,26.64,064-713-0636,제과점영업
66,제과점영업,파리바게트용담점,제주특별자치도 제주시 용화로 63 (용담이동),제주특별자치도 제주시 용담이동 624번지 10호 ,44.89,064-712-3020,제과점영업
67,제과점영업,하이밀베이커리,제주특별자치도 제주시 우정로 62 1층 (외도일동),제주특별자치도 제주시 외도일동 541번지 12호 ,47.3,064-711-2636,제과점영업
68,제과점영업,주식회사신세계푸드이베이커리신제주점,제주특별자치도 제주시 1100로 3348 지하1층 (노형동),제주특별자치도 제주시 노형동 919번지 ,172.9,064-711-6832,제과점영업
69,제과점영업,제주보리빵전문점,제주특별자치도 제주시 남녕로 23 (노형동),제주특별자치도 제주시 노형동 1273번지 8호 ,39.4,064-747-8515,제과점영업
70,제과점영업,한림우리빵집,제주특별자치도 제주시 한림읍 한림상로 90,제주특별자치도 제주시 한림읍 동명리 1614번지 1호 ,16.56,064-796-1733,제과점영업
71,제과점영업,르방,제주특별자치도 제주시 조천읍 신북로 576,제주특별자치도 제주시 조천읍 함덕리 956번지 ,35.5,064-784-5404,제과점영업
72,제과점영업,제주명과,제주특별자치도 제주시 구좌읍 세화8길 2,제주특별자치도 제주시 구좌읍 세화리 1411번지 2호 ,18.9,064-782-5985,제과점영업
73,제과점영업,파리바게뜨연동2호점,제주특별자치도 제주시 원노형로 82 (노형동),제주특별자치도 제주시 노형동 723번지 ,65.09,064-711-1183,제과점영업
74,제과점영업,파리바게뜨신노형점,제주특별자치도 제주시 정존11길 31 (노형동),제주특별자치도 제주시 노형동 2613번지 1호 ,91,064-744-9282,제과점영업
75,제과점영업,파리바게뜨제주인제점,제주특별자치도 제주시 고마로 57 (일도이동),제주특별자치도 제주시 일도이동 329번지 30호 ,75.6,064-751-0451,제과점영업
76,제과점영업,어머니빵집그랜드점,제주특별자치도 제주시 신대로 109 (연동외6필지),제주특별자치도 제주시 연동 303번지 17호 외6필지 ,55.57,064-712-1281,제과점영업
77,제과점영업,월드베이커리일도점,제주특별자치도 제주시 연수로3길 6 지하1층 (일도이동),제주특별자치도 제주시 일도이동 54번지 5호 ,32.4,,제과점영업
78,제과점영업,던킨도너츠화북점,제주특별자치도 제주시 동화로 8 (화북일동(1층)),제주특별자치도 제주시 화북일동 1222번지 (1층) ,67.2,,제과점영업
79,제과점영업,모닝베이커리,제주특별자치도 제주시 번영로 504 1층 (봉개동),제주특별자치도 제주시 봉개동 1902번지 ,26.4,064-753-0345,제과점영업
80,제과점영업,던킨도너츠제주시청점,제주특별자치도 제주시 중앙로 216 (이도이동),제주특별자치도 제주시 이도이동 1772번지 1호 ,83.92,,제과점영업
81,제과점영업,한아름베이커리,제주특별자치도 제주시 도남로 128 (도남동),제주특별자치도 제주시 도남동 101번지 1호 ,6.6,064-726-7030,제과점영업
82,제과점영업,화북빵굽는사람들,제주특별자치도 제주시 일주동로 233 (화북일동외3필지),제주특별자치도 제주시 화북일동 1244번지 1호 외3필지 ,30.9,,제과점영업
83,제과점영업,인숙이네보리빵,제주특별자치도 제주시 애월읍 애월로 118,제주특별자치도 제주시 애월읍 애월리 1584번지 1호 ,14.96,064-799-1777,제과점영업
84,제과점영업,명당양과본점,제주특별자치도 제주시 원노형로 83 (노형동),제주특별자치도 제주시 노형동 724번지 1호 ,119.51,064-711-1003,제과점영업
85,제과점영업,독일양과서사라점,제주특별자치도 제주시 서사로 84 (삼도일동),제주특별자치도 제주시 삼도일동 786번지 2호 ,23.79,064-724-3617,제과점영업
86,제과점영업,별미,제주특별자치도 제주시 천수로13길 17 (일도이동),제주특별자치도 제주시 일도이동 394번지 45호 ,35.2,064-759-1317,제과점영업
87,제과점영업,누벨베이커리3호점,제주특별자치도 제주시 수덕9길 52 (노형동),제주특별자치도 제주시 노형동 2530번지 6호 ,20.5,064-749-3457,제과점영업
88,제과점영업,황금보리빵,제주특별자치도 제주시 월성로4길 44 (용담이동),제주특별자치도 제주시 용담이동 703번지 1호 ,62,064-711-4160,제과점영업
89,제과점영업,뚜레쥬르제주화북점,제주특별자치도 제주시 진남로6길 4 (화북일동),제주특별자치도 제주시 화북일동 1989번지 ,69.79,064-756-3242,제과점영업
90,제과점영업,뚜레쥬르노형2점,제주특별자치도 제주시 수덕로 29 (노형동),제주특별자치도 제주시 노형동 2615번지 1호 ,47.36,064-712-0925,제과점영업
91,제과점영업,파리바게뜨제주시청점,제주특별자치도 제주시 중앙로 230 (이도이동),제주특별자치도 제주시 이도이동 1768번지 27호 ,99,,제과점영업
92,제과점영업,조천하나로마트빵집,제주특별자치도 제주시 조천읍 신북로 240,제주특별자치도 제주시 조천읍 조천리 2325번지 1호 ,26.24,064-784-4907,제과점영업
93,제과점영업,함덕농협협동조합 하나로베이커리,제주특별자치도 제주시 조천읍 함와로 40,제주특별자치도 제주시 조천읍 함덕리 72번지 4호 ,32.3,,제과점영업
94,제과점영업,성심,제주특별자치도 제주시 한경면 신한로 76 (외3필지),제주특별자치도 제주시 한경면 신창리 18번지 2호 외3필지 ,50.42,,제과점영업
95,제과점영업,아라찐빵,제주특별자치도 제주시 남광로4길 19 (이도이동),제주특별자치도 제주시 이도이동 1974번지 8호 (1층) ,31.59,064-726-1651,제과점영업
96,제과점영업,독일양과노형점,제주특별자치도 제주시 광평동로 63 (노형동),제주특별자치도 제주시 노형동 2880번지 ,29.7,064-742-3617,제과점영업
97,제과점영업,뚜레쥬르서사라점,제주특별자치도 제주시 서사로 133 (삼도일동),제주특별자치도 제주시 삼도일동 535번지 14호 ,92.34,,제과점영업
98,제과점영업,명당양과노형점,제주특별자치도 제주시 수덕로 51 (노형동),제주특별자치도 제주시 노형동 2529번지 5호 ,52.38,,제과점영업
99,제과점영업,웰빙베이커리,제주특별자치도 제주시 우정로 93 (외도일동),제주특별자치도 제주시 외도일동 645번지 2호 ,25,064-743-0435,제과점영업
100,제과점영업,뚜레쥬르도남점,제주특별자치도 제주시 도남로 54 (도남동),제주특별자치도 제주시 도남동 908번지 17호 ,42.26,064-758-8100,제과점영업
101,제과점영업,오빵구이,제주특별자치도 제주시 조천읍 신북로 37,제주특별자치도 제주시 조천읍 신촌리 2576번지 1호 ,45.1,064-782-5092,제과점영업
102,제과점영업,뚜레쥬르제주노형오거리점,제주특별자치도 제주시 월랑로 15 (노형동),제주특별자치도 제주시 노형동 1064번지 7호 ,200,064-744-9492,제과점영업
103,제과점영업,도두베이커리,제주특별자치도 제주시 오래물길 9 (도두일동),제주특별자치도 제주시 도두일동 2511번지 1호 ,15.48,064-762-9005,제과점영업
104,제과점영업,브래드스토리,제주특별자치도 제주시 일주서로 7864 (연동),제주특별자치도 제주시 연동 2304번지 1호 ,32,064-743-3743,제과점영업
105,제과점영업,봉개베이커리,제주특별자치도 제주시 번영로 532 (봉개동),제주특별자치도 제주시 봉개동 2081번지 ,26.3,064-722-8524,제과점영업
106,제과점영업,장원옛날보리빵,제주특별자치도 제주시 신산로 91 (일도이동),제주특별자치도 제주시 일도이동 339번지 5호 ,58.36,064-725-7598,제과점영업
107,제과점영업,양지섭베이커리세기점,제주특별자치도 제주시 구남동8길 58 (아라일동),제주특별자치도 제주시 아라일동 6034번지 4호 ,36.72,064-759-4134,제과점영업
108,제과점영업,양지섭베이커리아라점,제주특별자치도 제주시 중앙로 415 (아라이동),제주특별자치도 제주시 아라이동 2423번지 ,23.1,064-759-4136,제과점영업
109,제과점영업,하나로베이커리,제주특별자치도 제주시 애월읍 일주서로 7136,제주특별자치도 제주시 애월읍 하귀1리 190번지 1호 외1필지(도시개발사업완료로지번변경) ,46.31,064-711-0435,제과점영업
110,제과점영업,빵야빵야,제주특별자치도 제주시 남성로 112 (삼도일동),제주특별자치도 제주시 삼도일동 709번지 7호 ,29,064-723-0636,제과점영업
111,제과점영업,빠뮤제주점,제주특별자치도 제주시 연북로 1 (노형동),제주특별자치도 제주시 노형동 708번지 외3필지 ,74.58,,제과점영업
112,제과점영업,빵아저씨쿠키아줌마,제주특별자치도 제주시 고마로 115 (일도이동),제주특별자치도 제주시 일도이동 416번지 8호 ,46,064-727-6354,제과점영업
113,제과점영업,뚜레쥬르일도점,제주특별자치도 제주시 고마로 113 (일도이동1층),제주특별자치도 제주시 일도이동 416번지 9호 1층 ,100,,제과점영업
114,제과점영업,베스트베이커리,제주특별자치도 제주시 정존1길 24 (노형동),제주특별자치도 제주시 노형동 2513번지 11호 ,26.4,,제과점영업
115,제과점영업,파리바게뜨제주신광점,제주특별자치도 제주시 연삼로 2 (연동),제주특별자치도 제주시 연동 280번지 3호 ,102,,제과점영업
116,제과점영업,델리,제주특별자치도 제주시 탑동로 66 (삼도이동),제주특별자치도 제주시 삼도이동 1254번지 외2필지 ,64.08,064-729-8251,제과점영업
117,제과점영업,뚜레쥬르외도점,제주특별자치도 제주시 우정로 77 (외도일동),제주특별자치도 제주시 외도일동 637번지 1호 ,135,064-712-2666,제과점영업
118,제과점영업,라온베이커리,제주특별자치도 제주시 애월읍 광성로 289,제주특별자치도 제주시 애월읍 광령리 1333번지 1호 ,19.08,,제과점영업
119,제과점영업,파리바게뜨외도점,제주특별자치도 제주시 우정로15길 5 1층 (외도일동),제주특별자치도 제주시 외도일동 639번지 3호 ,139.85,064-755-7808,제과점영업
120,제과점영업,브레드가든,제주특별자치도 제주시 우정로 33 (외도일동),제주특별자치도 제주시 외도일동 476번지 6호 ,30,064-743-8845,제과점영업
121,제과점영업,명품베이커리,제주특별자치도 제주시 남녕로 11 (노형동),제주특별자치도 제주시 노형동 1292번지 12호 ,52.8,064-744-9288,제과점영업
122,제과점영업,빵띠아모이도점,제주특별자치도 제주시 중앙로 125 (이도일동),제주특별자치도 제주시 이도일동 1709번지 10호 ,3.3,064-726-0085,제과점영업
123,제과점영업,던킨도너츠탑동점,제주특별자치도 제주시 탑동로 24 (삼도이동),제주특별자치도 제주시 삼도이동 1261번지 13호 ,81.52,,제과점영업
124,제과점영업,누벨베이커리,제주특별자치도 제주시 월랑로4길 6 (노형동),제주특별자치도 제주시 노형동 1279번지 1호 ,81,064-711-5504,제과점영업
125,제과점영업,동천마트구내,제주특별자치도 제주시 동문로 10 (일도일동),제주특별자치도 제주시 일도일동 1145번지 1호 ,9,064-722-2641,제과점영업
126,제과점영업,파리바게트제주대점,제주특별자치도 제주시 제주대학로 113 (아라이동),제주특별자치도 제주시 아라이동 34번지 13호 ,62.81,,제과점영업
127,제과점영업,누벨베이커리6호점,제주특별자치도 제주시 연삼로 113 (오라삼동),제주특별자치도 제주시 오라삼동 2773번지 1호 ,6.6,,제과점영업
128,제과점영업,(주)지앤엘,제주특별자치도 제주시 삼무로 67 (연동),제주특별자치도 제주시 연동 291번지 30호 ,43.24,064-741-8000,제과점영업
129,제과점영업,뚜레쥬르연북로점,제주특별자치도 제주시 연북로 34 (노형동),제주특별자치도 제주시 노형동 725번지 ,77.5,064-742-4215,제과점영업
130,제과점영업,주)블랙스톤리조트구내,,제주특별자치도 제주시 한림읍 금악리 산 54번지 외6필지 ,55,064-795-2126,제과점영업
131,제과점영업,보리밭에보리빵,제주특별자치도 제주시 신성로 85 (도남동),제주특별자치도 제주시 도남동 922번지 37호 ,41,064-726-1589,제과점영업
132,제과점영업,평화보리빵,제주특별자치도 제주시 남녕로 54 (연동103호),제주특별자치도 제주시 연동 1950번지 6호 103호 ,40,064-712-8576,제과점영업
133,제과점영업,뚜레쥬르제주화북동중점,제주특별자치도 제주시 일주동로 246 1호 (화북일동),제주특별자치도 제주시 화북일동 1140번지 1호 ,106.29,,제과점영업
134,제과점영업,뚜레쥬르제주이도초교점,제주특별자치도 제주시 구남로4길 2-2 (이도이동),제주특별자치도 제주시 이도이동 2034번지 2호 (1층) ,129.9,064-748-6888,제과점영업
135,제과점영업,생협스토어제주노형점,제주특별자치도 제주시 광평동로 40 (노형동),제주특별자치도 제주시 노형동 2586번지 1호 ,78.91,064-745-7450,제과점영업
136,제과점영업,파리바게뜨한라대,제주특별자치도 제주시 한라대학로 68 1층 (노형동),제주특별자치도 제주시 노형동 1551번지 2호 ,105,064-742-8279,제과점영업
137,제과점영업,얌얌팩토리,제주특별자치도 제주시 신설동길 45-9 지하1층 (이도이동),제주특별자치도 제주시 이도이동 52번지 ,84.37,064-702-0919,제과점영업
138,제과점영업,흥부네찐빵,제주특별자치도 제주시 동광로 94-2 (이도이동),제주특별자치도 제주시 이도이동 315번지 7호 ,29.44,064-722-1348,제과점영업
139,제과점영업,누벨베이커리4호점,제주특별자치도 제주시 신대로7길 29-1 (연동),제주특별자치도 제주시 연동 310번지 38호 ,3.3,,제과점영업
140,제과점영업,월드베이커이노형점,제주특별자치도 제주시 월랑로10길 14 (노형동),제주특별자치도 제주시 노형동 1051번지 4호 ,3.3,064-753-7904,제과점영업
141,제과점영업,월드베이커리연동점,제주특별자치도 제주시 연동12길 3 (연동),제주특별자치도 제주시 연동 294번지 2호 ,3.3,064-753-7904,제과점영업
142,제과점영업,명당양과내도점,제주특별자치도 제주시 일주서로 7467 (내도동),제주특별자치도 제주시 내도동 363번지 1호 ,354.7,064-713-5008,제과점영업
143,제과점영업,주영올레베이커리,제주특별자치도 제주시 서광로 183 (삼도일동),제주특별자치도 제주시 삼도일동 507번지 5호 ,94.09,064-747-1255,제과점영업
144,제과점영업,크라운베이커리고산점,제주특별자치도 제주시 한경면 용고로 89,제주특별자치도 제주시 한경면 고산리 2825번지 1호 ,26.4,064-772-5522,제과점영업
145,제과점영업,빵띠아모,제주특별자치도 제주시 오복4길 38 1층 (이도이동 이도한우리아파트),제주특별자치도 제주시 이도이동 1083번지 14호 이도한우리아파트 1층상가 ,128.91,064-726-0085,제과점영업
146,제과점영업,클럽하우스,,제주특별자치도 제주시 오라이동 289번지 ,21.6,064-747-5100,제과점영업
147,제과점영업,카페드랑,제주특별자치도 제주시 노연로 80 (연동),제주특별자치도 제주시 연동 263번지 15호 ,132.52,064-747-5000,제과점영업
148,제과점영업,빵굼터마을,제주특별자치도 제주시 동광로 147 (일도이동),제주특별자치도 제주시 일도이동 356번지 20호 ,33,064-756-8000,제과점영업
149,제과점영업,하르방떡,제주특별자치도 제주시 신대로 72 (연동현일센츄럴파크뷰 102호),제주특별자치도 제주시 연동 301번지 7호 현일센츄럴파크뷰 102호 ,172.2,,제과점영업
150,제과점영업,애월농협똘레랑스베이커리,제주특별자치도 제주시 애월읍 애원로 41 (외4필지(1층)),제주특별자치도 제주시 애월읍 애월리 1400번지 1호 외4필지(1층) ,41.3,,제과점영업
151,제과점영업,(주)뉴월드서사라점,,제주특별자치도 제주시 삼도일동 520번지 ,38,,제과점영업
152,제과점영업,빵띠아모연동점,제주특별자치도 제주시 삼무로11길 16 (연동일우연동시장연립),제주특별자치도 제주시 연동 290번지 51호 일우연동시장연립 ,6.6,064-726-0085,제과점영업
153,제과점영업,대길보리빵,제주특별자치도 제주시 용담로 97 (용담이동),제주특별자치도 제주시 용담이동 359번지 13호 ,22.34,,제과점영업
154,제과점영업,한라아이쿱소비자생활협동조합한라연동점,제주특별자치도 제주시 연북로 78 (연동),제주특별자치도 제주시 연동 1371번지 5호 ,37.73,064-713-5261,제과점영업
155,제과점영업,빵띠아모시청점,제주특별자치도 제주시 동광로6길 23 (이도이동),제주특별자치도 제주시 이도이동 1148번지 10호 외1필지(1층) ,6.6,064-724-6262,제과점영업
156,제과점영업,엠에스월드,제주특별자치도 제주시 고마로18길 11 (일도이동),제주특별자치도 제주시 일도이동 413번지 2호 ,50,070-4042-0214,제과점영업
157,제과점영업,누벨베이커리2호점,제주특별자치도 제주시 용담로 40 (용담이동),제주특별자치도 제주시 용담이동 592번지 5호 ,3.3,,제과점영업
158,제과점영업,빵띠아모용담점,제주특별자치도 제주시 남성로 57 (용담일동),제주특별자치도 제주시 용담일동 264번지 1호 ,6.6,,제과점영업
159,제과점영업,제주쑥빵,제주특별자치도 제주시 신산로 107 (일도이동),제주특별자치도 제주시 일도이동 362번지 21호 ,56.42,064-722-6388,제과점영업
160,제과점영업,파리바게트제주서사라점,제주특별자치도 제주시 서광로 205 (삼도일동),제주특별자치도 제주시 삼도일동 519번지 15호 ,115.5,,제과점영업
161,제과점영업,돌코롬,제주특별자치도 제주시 한림읍 한림상로 273,제주특별자치도 제주시 한림읍 대림리 2015번지 ,59.7,064-796-0508,제과점영업
162,제과점영업,빵집아저씨,제주특별자치도 제주시 중앙로 574 (아라일동),제주특별자치도 제주시 아라일동 1720번지 11호 ,82,064-702-1348,제과점영업
163,제과점영업,당찬연구소,제주특별자치도 제주시 번영로 480 (봉개동원복빌딩 2층),제주특별자치도 제주시 봉개동 1943번지 원복빌딩 2층 ,42.68,064-755-2850,제과점영업
