"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
2,31.92,4.46,2,1,3,4,6.04,2,2,3,3,1,311,300,"+"
2,41.5,1.54,2,1,7,1,3.5,1,1,0,0,1,216,0,"+"
2,23.92,0.665,2,1,2,8,0.165,1,1,0,0,1,100,0,"+"
1,25.75,0.5,2,1,2,4,0.875,2,1,0,0,1,491,0,"+"
2,26,1,2,1,11,8,1.75,2,1,0,0,1,280,0,"+"
2,37.42,2.04,2,1,13,8,0.04,2,1,0,0,1,400,5800,"+"
2,34.92,2.5,2,1,13,8,0,2,1,0,0,1,239,200,"+"
2,34.25,3,2,1,3,4,7.415,2,1,0,0,1,0,0,"+"
2,23.33,11.625,3,3,13,8,0.835,2,1,0,0,1,160,300,"+"
2,23.17,0,2,1,3,8,0.085,2,1,0,0,1,0,0,"+"
2,44.33,0.5,2,1,7,4,5,2,1,0,0,1,320,0,"+"
2,35.17,4.5,2,1,14,4,5.75,1,1,0,0,3,711,0,"+"
2,43.25,3,2,1,11,4,6,2,2,11,11,1,80,0,"+"
2,56.75,12.25,2,1,10,8,1.25,2,2,4,4,1,200,0,"+"
2,31.67,16.165,2,1,4,8,3,2,2,9,9,1,250,730,"+"
1,23.42,0.79,3,3,11,8,1.5,2,2,2,2,1,80,400,"+"
1,20.42,0.835,2,1,11,8,1.585,2,2,1,1,1,0,0,"+"
2,26.67,4.25,2,1,3,8,4.29,2,2,1,1,1,120,0,"+"
2,34.17,1.54,2,1,3,8,1.54,2,2,1,1,1,520,50000,"+"
1,36,1,2,1,2,8,2,2,2,11,11,1,0,456,"+"
2,25.5,0.375,2,1,10,8,0.25,2,2,3,3,1,260,15108,"+"
2,19.42,6.5,2,1,13,4,1.46,2,2,7,7,1,80,2954,"+"
2,35.17,25.125,2,1,14,4,1.625,2,2,1,1,1,515,500,"+"
2,32.33,7.5,2,1,5,1,1.585,2,1,0,0,3,420,0,"-"
1,38.58,5,2,1,3,8,13.5,2,1,0,0,1,980,0,"-"
2,44.25,0.5,2,1,10,8,10.75,2,1,0,0,3,400,0,"-"
2,44.83,7,3,3,2,8,1.625,1,1,0,0,1,160,2,"-"
2,20.67,5.29,2,1,11,8,0.375,2,2,1,1,1,160,0,"-"
2,34.08,6.5,2,1,1,8,0.125,2,1,0,0,1,443,0,"-"
1,19.17,0.585,3,3,1,8,0.585,2,1,0,0,1,160,0,"-"
2,21.67,1.165,3,3,9,8,2.5,2,2,1,1,1,180,20,"-"
2,21.5,9.75,2,1,2,8,0.25,2,1,0,0,1,140,0,"-"
2,49.58,19,2,1,6,3,0,2,2,1,1,1,94,0,"-"
1,27.67,1.5,2,1,10,8,2,2,1,0,0,3,368,0,"-"
2,39.83,0.5,2,1,10,8,0.25,2,1,0,0,3,288,0,"-"
2,27.25,0.625,2,1,1,8,0.455,2,1,0,0,1,200,0,"-"
2,37.17,4,2,1,2,1,5,2,1,0,0,3,280,0,"-"
2,25.67,2.21,3,3,1,8,4,2,1,0,0,1,188,0,"-"
2,34,4.5,2,1,1,8,1,2,1,0,0,1,240,0,"-"
1,49,1.5,2,1,8,5,0,2,1,0,0,1,100,27,"-"
2,62.5,12.75,3,3,2,4,5,2,1,0,0,1,112,0,"-"
2,31.42,15.5,2,1,2,8,0.5,2,1,0,0,1,120,0,"-"
2,52.33,1.375,3,3,2,4,9.46,2,1,0,0,1,200,100,"-"
2,28.75,1.5,3,3,2,8,1.5,2,1,0,0,1,0,225,"-"
1,28.58,3.54,2,1,7,1,0.5,2,1,0,0,1,171,0,"-"
2,23,0.625,3,3,1,8,0.125,2,1,0,0,1,180,1,"-"
1,22.5,11,3,3,11,8,3,2,1,0,0,1,268,0,"-"
1,28.5,1,2,1,11,8,1,2,2,2,2,1,167,500,"-"
2,37.5,1.75,3,3,2,1,0.25,2,1,0,0,1,164,400,"-"
2,35.25,16.5,3,3,2,8,4,2,1,0,0,1,80,0,"-"
2,18.67,5,2,1,11,8,0.375,2,2,2,2,1,0,38,"-"
2,25,12,2,1,9,8,2.25,2,2,2,2,1,120,5,"-"
2,27.83,4,3,3,7,4,5.75,2,2,2,2,1,75,0,"-"
2,54.83,15.5,2,1,5,9,0,2,2,20,20,1,152,130,"-"
2,28.75,1.165,2,1,9,8,0.5,2,1,0,0,3,280,0,"-"
1,25,11,3,3,1,8,4.5,2,1,0,0,1,120,0,"-"
2,40.92,2.25,3,3,14,4,10,2,1,0,0,1,176,0,"-"
1,19.75,0.75,2,1,2,8,0.795,2,2,5,5,1,140,5,"-"
2,29.17,3.5,2,1,13,8,3.5,2,2,3,3,1,329,0,"-"
1,24.5,1.04,3,3,6,3,0.5,2,2,3,3,1,180,147,"-"
2,24.58,12.5,2,1,13,8,0.875,2,1,0,0,1,260,0,"-"
1,33.75,0.75,2,1,9,1,1,2,2,3,3,1,212,0,"-"
2,20.67,1.25,3,3,2,4,1.375,2,2,3,3,1,140,210,"-"
1,25.42,1.125,2,1,11,8,1.29,2,2,2,2,1,200,0,"-"
2,37.75,7,2,1,11,4,11.5,2,2,7,7,1,300,5,"-"
2,52.5,6.5,2,1,9,8,6.29,2,2,15,15,1,0,11202,"+"
2,57.83,7.04,2,1,10,8,14,2,2,6,6,1,360,1332,"+"
1,20.75,10.335,2,1,3,4,0.335,2,2,1,1,1,80,50,"+"
2,39.92,6.21,2,1,11,8,0.04,2,2,1,1,1,200,300,"+"
2,25.67,12.5,2,1,3,8,1.21,2,2,67,67,1,140,258,"+"
1,24.75,12.5,2,1,1,8,1.5,2,2,12,12,1,120,567,"+"
1,44.17,6.665,2,1,11,8,7.375,2,2,3,3,1,0,0,"+"
1,23.5,9,2,1,11,8,8.5,2,2,5,5,1,120,0,"+"
2,34.92,5,2,1,14,4,7.5,2,2,6,6,1,0,1000,"+"
2,47.67,2.5,2,1,10,1,2.5,2,2,12,12,1,410,2510,"+"
2,22.75,11,2,1,11,8,2.5,2,2,7,7,1,100,809,"+"
2,34.42,4.25,2,1,7,1,3.25,2,2,2,2,1,274,610,"+"
1,28.42,3.5,2,1,13,8,0.835,2,1,0,0,3,280,0,"+"
2,67.75,5.5,2,1,5,9,13,2,2,1,1,1,0,0,"+"
2,20.42,1.835,2,1,2,8,2.25,2,2,1,1,1,100,150,"+"
1,47.42,8,2,1,5,1,6.5,2,2,6,6,1,375,51100,"+"
2,36.25,5,2,1,2,1,2.5,2,2,6,6,1,0,367,"+"
2,32.67,5.5,2,1,11,4,5.5,2,2,12,12,1,408,1000,"+"
2,48.58,6.5,2,1,11,4,6,2,1,0,0,1,350,0,"+"
2,39.92,0.54,3,3,1,8,0.5,2,2,3,3,1,200,1000,"+"
2,33.58,2.75,2,1,10,8,4.25,2,2,6,6,1,204,0,"+"
1,18.83,9.5,2,1,13,8,1.625,2,2,6,6,1,40,600,"+"
1,26.92,13.5,2,1,11,4,5,2,2,2,2,1,0,5000,"+"
1,31.25,3.75,2,1,3,4,0.625,2,2,9,9,1,181,0,"+"
1,56.5,16,2,1,8,3,0,2,2,15,15,1,0,247,"+"
2,43,0.29,3,3,3,4,1.75,2,2,8,8,1,100,375,"+"
2,22.33,11,2,1,13,8,2,2,2,1,1,1,80,278,"+"
2,27.25,1.665,2,1,3,4,5.085,2,2,9,9,1,399,827,"+"
2,32.83,2.5,2,1,3,4,2.75,2,2,6,6,1,160,2072,"+"
2,23.25,1.5,2,1,11,8,2.375,2,2,3,3,1,0,582,"+"
1,40.33,7.54,3,3,11,4,8,2,2,14,14,1,0,2300,"+"
1,30.5,6.5,2,1,2,1,4,2,2,7,7,1,0,3065,"+"
1,52.83,15,2,1,2,8,5.5,2,2,14,14,1,0,2200,"+"
1,46.67,0.46,2,1,3,4,0.415,2,2,11,11,1,440,6,"+"
1,58.33,10,2,1,11,8,4,2,2,14,14,1,0,1602,"+"
2,37.33,6.5,2,1,10,4,4.25,2,2,12,12,1,93,0,"+"
2,23.08,2.5,2,1,2,8,1.085,2,2,11,11,1,60,2184,"+"
2,32.75,1.5,2,1,3,4,5.5,2,2,3,3,1,0,0,"+"
1,21.67,11.5,3,3,8,5,0,2,2,11,11,1,0,0,"+"
1,28.5,3.04,3,3,14,4,2.54,2,2,1,1,1,70,0,"+"
1,68.67,15,2,1,5,9,0,2,2,14,14,1,0,3376,"+"
2,28,2,2,1,9,4,4.165,2,2,2,2,1,181,0,"+"
2,34.08,0.08,3,3,10,1,0.04,2,2,1,1,1,280,2000,"+"
2,27.67,2,2,1,14,4,1,2,2,4,4,1,140,7544,"+"
2,44,2,2,1,10,8,1.75,2,2,2,2,1,0,15,"+"
2,25.08,1.71,2,1,14,8,1.665,2,2,1,1,1,395,20,"+"
2,32,1.75,3,3,5,4,0.04,2,1,0,0,1,393,0,"+"
1,60.58,16.5,2,1,11,8,11,2,1,0,0,1,21,10561,"+"
1,40.83,10,2,1,11,4,1.75,2,1,0,0,1,29,837,"+"
2,19.33,9.5,2,1,11,8,1,2,1,0,0,1,60,400,"+"
1,32.33,0.54,2,1,3,8,0.04,2,1,0,0,1,440,11177,"+"
2,36.67,3.25,2,1,11,4,9,2,1,0,0,1,102,639,"+"
2,37.5,1.125,3,3,4,8,1.5,1,1,0,0,1,431,0,"+"
1,25.08,2.54,3,3,1,8,0.25,2,1,0,0,1,370,0,"+"
2,41.33,0,2,1,2,1,15,2,1,0,0,1,0,0,"+"
2,56,12.5,2,1,9,4,8,2,1,0,0,1,24,2028,"+"
1,49.83,13.585,2,1,9,4,8.5,2,1,0,0,1,0,0,"+"
2,22.67,10.5,2,1,11,4,1.335,2,1,0,0,1,100,0,"+"
2,27,1.5,3,3,13,8,0.375,2,1,0,0,1,260,1065,"+"
2,25,12.5,2,1,1,8,3,2,1,0,0,3,20,0,"+"
1,26.08,8.665,2,1,1,8,1.415,2,1,0,0,1,160,150,"+"
1,18.42,9.25,2,1,11,8,1.21,2,2,4,4,1,60,540,"+"
2,20.17,8.17,2,1,1,8,1.96,2,2,14,14,1,60,158,"+"
2,47.67,0.29,2,1,2,1,15,2,2,20,20,1,0,15000,"+"
1,21.25,2.335,2,1,7,1,0.5,2,2,4,4,3,80,0,"+"
1,20.67,3,2,1,11,8,0.165,2,2,3,3,1,100,6,"+"
1,57.08,19.5,2,1,2,8,5.5,2,2,7,7,1,0,3000,"+"
1,22.42,5.665,2,1,11,8,2.585,2,2,7,7,1,129,3257,"+"
2,48.75,8.5,2,1,2,4,12.5,2,2,9,9,1,181,1655,"+"
2,40,6.5,2,1,1,1,3.5,2,2,1,1,1,0,500,"+"
2,40.58,5,2,1,2,8,5,2,2,7,7,1,0,3065,"+"
1,28.67,1.04,2,1,2,8,2.5,2,2,5,5,1,300,1430,"+"
1,33.08,4.625,2,1,11,4,1.625,2,2,2,2,1,0,0,"+"
2,21.33,10.5,2,1,2,8,3,2,1,0,0,1,0,0,"+"
2,42,0.205,2,1,7,4,5.125,2,1,0,0,1,400,0,"+"
2,41.75,0.96,2,1,14,8,2.5,2,1,0,0,1,510,600,"+"
2,22.67,1.585,3,3,13,8,3.085,2,2,6,6,1,80,0,"+"
2,34.5,4.04,3,3,7,1,8.5,2,2,7,7,1,195,0,"+"
2,28.25,5.04,3,3,2,1,1.5,2,2,8,8,1,144,7,"+"
2,33.17,3.165,3,3,14,8,3.165,2,2,3,3,1,380,0,"+"
2,48.17,7.625,2,1,13,4,15.5,2,2,12,12,1,0,790,"+"
2,27.58,2.04,3,3,1,8,2,2,2,3,3,1,370,560,"+"
2,22.58,10.04,2,1,14,8,0.04,2,2,9,9,1,60,396,"+"
1,24.08,0.5,2,1,11,4,1.25,2,2,1,1,1,0,678,"+"
1,41.33,1,2,1,7,1,2.25,2,1,0,0,1,0,300,"+"
1,20.75,10.25,2,1,11,8,0.71,2,2,2,2,1,49,0,"+"
2,36.33,2.125,3,3,13,8,0.085,2,2,1,1,1,50,1187,"+"
1,35.42,12,2,1,11,4,14,2,2,8,8,1,0,6590,"+"
2,28.67,9.335,2,1,11,4,5.665,2,2,6,6,1,381,168,"+"
2,35.17,2.5,2,1,9,8,4.5,2,2,7,7,1,150,1270,"+"
2,39.5,4.25,2,1,2,1,6.5,2,2,16,16,1,117,1210,"+"
2,39.33,5.875,2,1,3,4,10,2,2,14,14,1,399,0,"+"
2,24.33,6.625,3,3,4,8,5.5,2,1,0,0,3,100,0,"+"
2,60.08,14.5,2,1,6,3,18,2,2,15,15,1,0,1000,"+"
2,23.08,11.5,2,1,7,8,3.5,2,2,9,9,1,56,742,"+"
2,26.67,2.71,3,3,3,8,5.25,2,2,1,1,1,211,0,"+"
2,48.17,3.5,2,1,1,8,3.5,2,1,0,0,3,230,0,"+"
2,41.17,4.04,2,1,3,4,7,2,2,8,8,1,320,0,"+"
2,55.92,11.5,2,1,6,3,5,2,2,5,5,1,0,8851,"+"
2,53.92,9.625,2,1,5,8,8.665,2,2,5,5,1,0,0,"+"
1,18.92,9.25,3,3,2,8,1,2,2,4,4,1,80,500,"+"
1,50.08,12.54,2,1,1,8,2.29,2,2,3,3,1,156,0,"+"
2,65.42,11,2,1,5,9,20,2,2,7,7,1,22,0,"+"
1,17.58,9,2,1,1,8,1.375,2,1,0,0,1,0,0,"+"
1,18.83,9.54,2,1,1,8,0.085,2,1,0,0,1,100,0,"+"
1,37.75,5.5,2,1,11,8,0.125,2,1,0,0,1,228,0,"+"
2,23.25,4,2,1,2,1,0.25,2,1,0,0,1,160,0,"+"
2,18.08,5.5,2,1,9,8,0.5,2,1,0,0,1,80,0,"+"
1,22.5,8.46,3,3,14,8,2.46,1,1,0,0,1,164,0,"+"
2,19.67,0.375,2,1,11,8,2,2,2,2,2,1,80,0,"+"
2,22.08,11,2,1,3,8,0.665,2,1,0,0,1,100,0,"+"
2,25.17,3.5,2,1,3,8,0.625,2,2,7,7,1,0,7059,"+"
1,47.42,3,2,1,14,8,13.875,2,2,2,2,1,519,1704,"+"
2,33.5,1.75,2,1,14,4,4.5,2,2,4,4,1,253,857,"+"
2,27.67,13.75,2,1,13,8,5.75,2,1,0,0,1,487,500,"+"
1,58.42,21,2,1,7,1,10,2,2,13,13,1,0,6700,"+"
1,20.67,1.835,2,1,11,8,2.085,2,2,5,5,1,220,2503,"+"
2,26.17,0.25,2,1,7,1,0,2,1,0,0,1,0,0,"+"
2,21.33,7.5,2,1,1,8,1.415,2,2,1,1,1,80,9800,"+"
2,42.83,4.625,2,1,11,8,4.58,2,1,0,0,3,0,0,"+"
2,38.17,10.125,2,1,14,8,2.5,2,2,6,6,1,520,196,"+"
2,20.5,10,3,3,2,8,2.5,2,1,0,0,3,40,0,"+"
2,48.25,25.085,2,1,13,8,1.75,2,2,3,3,1,120,14,"+"
2,28.33,5,2,1,13,8,11,2,1,0,0,1,70,0,"+"
2,18.5,2,2,1,7,8,1.5,2,2,2,2,1,120,300,"+"
2,33.17,3.04,3,3,2,4,2.04,2,2,1,1,1,180,18027,"+"
2,45,8.5,2,1,3,4,14,2,2,1,1,1,88,2000,"+"
1,19.67,0.21,2,1,11,4,0.29,2,2,11,11,1,80,99,"+"
2,21.83,11,2,1,14,8,0.29,2,2,6,6,1,121,0,"+"
2,40.25,21.5,2,1,5,9,20,2,2,11,11,1,0,1200,"+"
2,41.42,5,2,1,11,4,5,2,2,6,6,1,470,0,"+"
1,17.83,11,2,1,14,4,1,2,2,11,11,1,0,3000,"+"
2,23.17,11.125,2,1,14,4,0.46,2,2,1,1,1,100,0,"+"
2,18.17,10.25,2,1,2,4,1.085,1,1,0,0,1,320,13,"-"
2,20,11.045,2,1,2,8,2,1,1,0,0,1,136,0,"-"
2,20,0,2,1,4,8,0.5,1,1,0,0,1,144,0,"-"
1,20.75,9.54,2,1,7,8,0.04,1,1,0,0,1,200,1000,"-"
1,24.5,1.75,3,3,2,8,0.165,1,1,0,0,1,132,0,"-"
2,32.75,2.335,2,1,4,4,5.75,1,1,0,0,1,292,0,"-"
1,52.17,0,3,3,6,3,0,1,1,0,0,1,0,0,"-"
1,48.17,1.335,2,1,7,7,0.335,1,1,0,0,1,0,120,"-"
1,20.42,10.5,3,3,14,4,0,1,1,0,0,1,154,32,"-"
2,50.75,0.585,2,1,6,3,0,1,1,0,0,1,145,0,"-"
2,17.08,0.085,3,3,2,8,0.04,1,1,0,0,1,140,722,"-"
2,18.33,1.21,3,3,5,2,0,1,1,0,0,1,100,0,"-"
1,32,6,2,1,4,8,1.25,1,1,0,0,1,272,0,"-"
2,59.67,1.54,2,1,11,8,0.125,2,1,0,0,1,260,0,"+"
2,18,0.165,2,1,11,6,0.21,1,1,0,0,1,200,40,"+"
2,32.33,2.5,2,1,2,8,1.25,1,1,0,0,1,280,0,"-"
2,18.08,6.75,3,3,10,8,0.04,1,1,0,0,1,140,0,"-"
2,38.25,10.125,3,3,9,8,0.125,1,1,0,0,1,160,0,"-"
2,30.67,2.5,2,1,3,4,2.25,1,1,0,0,3,340,0,"-"
2,18.58,5.71,2,1,4,8,0.54,1,1,0,0,1,120,0,"-"
1,19.17,5.415,2,1,7,4,0.29,1,1,0,0,1,80,484,"-"
1,18.17,10,3,3,11,4,0.165,1,1,0,0,1,340,0,"-"
2,16.25,0.835,2,1,10,8,0.085,2,1,0,0,3,200,0,"-"
2,21.17,0.875,3,3,2,4,0.25,1,1,0,0,1,280,204,"-"
2,23.92,0.585,3,3,3,4,0.125,1,1,0,0,1,240,1,"-"
2,17.67,4.46,2,1,2,8,0.25,1,1,0,0,3,80,0,"-"
1,16.5,1.25,2,1,11,8,0.25,1,2,1,1,1,108,98,"-"
2,23.25,12.625,2,1,2,8,0.125,1,2,2,2,1,0,5552,"-"
2,17.58,10,2,1,13,4,0.165,1,2,1,1,1,120,1,"-"
2,29.5,0.58,2,1,13,8,0.29,1,2,1,1,1,340,2803,"-"
2,18.83,0.415,3,3,2,8,0.165,1,2,1,1,1,200,1,"-"
1,21.75,1.75,3,3,8,5,0,1,1,0,0,1,160,0,"-"
2,23,0.75,2,1,10,8,0.5,1,1,0,0,3,320,0,"-"
1,18.25,10,2,1,13,8,1,1,2,1,1,1,120,1,"-"
2,25.42,0.54,2,1,13,8,0.165,1,2,1,1,1,272,444,"-"
2,35.75,2.415,2,1,13,8,0.125,1,2,2,2,1,220,1,"-"
1,16.08,0.335,2,1,6,3,0,1,2,1,1,1,160,126,"-"
1,31.92,3.125,2,1,6,3,3.04,1,2,2,2,1,200,4,"-"
2,69.17,9,2,1,6,3,4,1,2,1,1,1,70,6,"-"
2,32.92,2.5,2,1,1,8,1.75,1,2,2,2,1,720,0,"-"
2,16.33,2.75,2,1,1,8,0.665,1,2,1,1,1,80,21,"-"
2,22.17,12.125,2,1,2,8,3.335,1,2,2,2,1,180,173,"-"
1,57.58,2,2,1,6,3,6.5,1,2,1,1,1,0,10,"-"
2,18.25,0.165,2,1,4,8,0.25,1,1,0,0,3,280,0,"-"
2,23.42,1,2,1,2,8,0.5,1,1,0,0,3,280,0,"-"
1,15.92,2.875,2,1,11,8,0.085,1,1,0,0,1,120,0,"-"
1,24.75,13.665,2,1,11,4,1.5,1,1,0,0,1,280,1,"-"
2,48.75,26.335,3,3,6,3,0,2,1,0,0,1,0,0,"-"
2,23.5,2.75,2,1,6,3,4.5,1,1,0,0,1,160,25,"-"
2,18.58,10.29,2,1,6,3,0.415,1,1,0,0,1,80,0,"-"
2,27.75,1.29,2,1,9,4,0.25,1,1,0,0,3,140,0,"-"
1,31.75,3,3,3,8,5,0,1,1,0,0,1,160,20,"-"
1,24.83,4.5,2,1,13,8,1,1,1,0,0,1,360,6,"-"
2,19,1.75,3,3,2,8,2.335,1,1,0,0,1,112,6,"-"
1,16.33,0.21,2,1,1,8,0.125,1,1,0,0,1,200,1,"-"
1,18.58,10,2,1,4,8,0.415,1,1,0,0,1,80,42,"-"
2,16.25,0,3,3,1,8,0.25,1,1,0,0,1,60,0,"-"
2,23,0.75,2,1,10,8,0.5,2,1,0,0,3,320,0,"-"
2,21.17,0.25,3,3,2,4,0.25,1,1,0,0,1,280,204,"-"
2,17.5,22,1,2,6,7,0,1,1,0,0,2,450,100000,"+"
2,19.17,0,3,3,10,1,0,1,1,0,0,3,500,1,"+"
2,36.75,0.125,3,3,2,8,1.5,1,1,0,0,1,232,113,"+"
2,21.25,1.5,2,1,13,8,1.5,1,1,0,0,1,150,8,"+"
1,18.08,0.375,1,2,3,3,10,1,1,0,0,3,300,0,"+"
1,33.67,0.375,2,1,3,8,0.375,1,1,0,0,1,300,44,"+"
2,48.58,0.205,3,3,9,8,0.25,2,2,11,11,1,380,2732,"+"
2,33.67,1.25,2,1,13,8,1.165,1,1,0,0,1,120,0,"-"
1,29.5,1.085,3,3,14,8,1,1,1,0,0,1,280,13,"-"
2,30.17,1.085,3,3,2,8,0.04,1,1,0,0,1,170,179,"-"
2,34.83,2.5,3,3,13,8,3,1,1,0,0,3,200,0,"-"
1,33.25,2.5,3,3,2,8,2.5,1,1,0,0,1,0,2,"-"
2,34.08,2.5,2,1,2,8,1,1,1,0,0,1,460,16,"-"
1,25.25,12.5,2,1,4,8,1,1,1,0,0,1,180,1062,"-"
2,34.75,2.5,2,1,3,1,0.5,1,1,0,0,1,348,0,"-"
2,27.67,0.75,2,1,11,4,0.165,1,1,0,0,1,220,251,"-"
2,47.33,6.5,2,1,2,8,1,1,1,0,0,1,0,228,"-"
1,34.83,1.25,3,3,7,4,0.5,1,1,0,0,1,160,0,"-"
1,33.25,3,3,3,1,8,2,1,1,0,0,1,180,0,"-"
2,28,3,2,1,13,8,0.75,1,1,0,0,1,300,67,"-"
1,39.08,4,2,1,2,8,3,1,1,0,0,1,480,0,"-"
2,42.75,4.085,2,1,1,8,0.04,1,1,0,0,1,108,100,"-"
2,26.92,2.25,2,1,7,1,0.5,1,1,0,0,1,640,4000,"-"
2,33.75,2.75,2,1,7,1,0,1,1,0,0,1,180,0,"-"
2,38.92,1.75,2,1,9,8,0.5,1,1,0,0,1,300,2,"-"
2,62.75,7,2,1,5,9,0,1,1,0,0,1,0,12,"-"
2,26.75,4.5,3,3,2,1,2.5,1,1,0,0,1,200,1210,"-"
2,63.33,0.54,2,1,2,8,0.585,2,2,3,3,1,180,0,"-"
2,27.83,1.5,2,1,13,8,2.25,1,2,1,1,1,100,3,"-"
1,26.17,2,2,1,8,5,0,1,1,0,0,1,276,1,"-"
2,22.17,0.585,3,3,6,3,0,1,1,0,0,1,100,0,"-"
2,22.5,11.5,3,3,10,8,1.5,1,1,0,0,1,0,4000,"-"
2,30.75,1.585,2,1,4,8,0.585,1,1,0,0,3,0,0,"-"
2,36.67,2,2,1,7,8,0.25,1,1,0,0,1,221,0,"-"
1,16,0.165,2,1,1,8,1,1,2,2,2,1,320,1,"-"
2,41.17,1.335,2,1,4,8,0.165,1,1,0,0,1,168,0,"-"
1,19.5,0.165,2,1,11,8,0.04,1,1,0,0,1,380,0,"-"
2,32.42,3,2,1,4,8,0.165,1,1,0,0,1,120,0,"-"
1,36.75,4.71,2,1,6,3,0,1,1,0,0,1,160,0,"-"
1,30.25,5.5,2,1,9,8,5.5,1,1,0,0,3,100,0,"-"
2,23.08,2.5,2,1,6,3,0.085,1,1,0,0,1,100,4208,"-"
2,26.83,0.54,2,1,9,3,0,1,1,0,0,1,100,0,"-"
2,16.92,0.335,3,3,9,8,0.29,1,1,0,0,3,200,0,"-"
2,24.42,2,2,1,5,2,0.165,1,2,2,2,1,320,1300,"-"
2,42.83,1.25,2,1,10,8,13.875,1,2,1,1,1,352,112,"-"
1,22.75,6.165,2,1,1,8,0.165,1,1,0,0,1,220,1000,"-"
2,39.42,1.71,3,3,10,8,0.165,1,1,0,0,3,400,0,"-"
1,23.58,11.5,3,3,9,4,3,1,1,0,0,1,20,16,"-"
2,21.42,0.75,3,3,12,6,0.75,1,1,0,0,1,132,2,"-"
2,33,2.5,3,3,13,8,7,1,1,0,0,1,280,0,"-"
2,26.33,13,2,1,5,2,0,1,1,0,0,1,140,1110,"-"
1,45,4.585,2,1,9,4,1,1,1,0,0,3,240,0,"-"
